roi_set	roi_name	domain	meta_source	term_or_query	map_type	hemisphere	x	y	z	radius_mm	theory_role	source_url	download_date	notes
language_network	lang_L_IFGtri	language	Fedorenko	language localizer IFG tri	parcel_centroid_sphere	L	-50	18	18	6	syntactic_combinatorial	https://evlab.mit.edu/funcloc/	2026-05-06	Fedorenko 2010 JNeurophysiol/2011 PNAS language parcel centroid; L IFG pars triangularis (Malik-Moraleda 2022 Cerebral Cortex supplementary ref).
language_network	lang_R_IFGtri	language	Fedorenko	language localizer IFG tri	parcel_centroid_sphere	R	52	22	18	6	right_homologue_sensitivity	https://evlab.mit.edu/funcloc/	2026-05-06	Right IFG tri homologue; Fedorenko-system language parcel centroid for sensitivity to right-hemisphere language engagement.
language_network	lang_L_IFGorb	language	Fedorenko	language localizer IFG orb	parcel_centroid_sphere	L	-48	30	-6	6	semantic_control_lexical	https://evlab.mit.edu/funcloc/	2026-05-06	L IFG pars orbitalis parcel centroid (Fedorenko system).
language_network	lang_R_IFGorb	language	Fedorenko	language localizer IFG orb	parcel_centroid_sphere	R	50	30	-6	6	right_homologue_sensitivity	https://evlab.mit.edu/funcloc/	2026-05-06	R IFG pars orbitalis parcel centroid (Fedorenko system).
language_network	lang_L_MFG	language	Fedorenko	language localizer MFG	parcel_centroid_sphere	L	-44	14	30	6	working_memory_support	https://evlab.mit.edu/funcloc/	2026-05-06	L MFG language parcel centroid; present in Fedorenko-system language atlas.
language_network	lang_L_AntTemp	language	Fedorenko	language localizer AntTemp	parcel_centroid_sphere	L	-52	4	-18	6	semantic_hub_language	https://evlab.mit.edu/funcloc/	2026-05-06	L anterior temporal language parcel centroid (Fedorenko system).
language_network	lang_R_AntTemp	language	Fedorenko	language localizer AntTemp	parcel_centroid_sphere	R	52	6	-18	6	right_homologue_sensitivity	https://evlab.mit.edu/funcloc/	2026-05-06	R anterior temporal language parcel centroid (Fedorenko system).
language_network	lang_L_PostTemp	language	Fedorenko	language localizer PostTemp	parcel_centroid_sphere	L	-56	-42	0	6	lexical_semantic_temporal	https://evlab.mit.edu/funcloc/	2026-05-06	L posterior temporal language parcel centroid (Fedorenko system).
language_network	lang_R_PostTemp	language	Fedorenko	language localizer PostTemp	parcel_centroid_sphere	R	56	-38	2	6	right_homologue_sensitivity	https://evlab.mit.edu/funcloc/	2026-05-06	R posterior temporal language parcel centroid (Fedorenko system).
language_network	lang_L_AngG	language	Fedorenko	language localizer AngG	parcel_centroid_sphere	L	-46	-64	28	6	combinatorial_semantics_language	https://evlab.mit.edu/funcloc/	2026-05-06	L angular gyrus language parcel centroid (Fedorenko system).
language_network	lang_R_AngG	language	Fedorenko	language localizer AngG	parcel_centroid_sphere	R	48	-60	30	6	right_homologue_sensitivity	https://evlab.mit.edu/funcloc/	2026-05-06	R angular gyrus language parcel centroid (Fedorenko system).
