subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-01	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	-0.012790377268140592	30
sub-01	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.01627507090600114	30
sub-01	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.3292718526018913	4
sub-01	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.026095316467986678	4
sub-01	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	-0.019140289828290077	30
sub-01	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.010497095267509636	30
sub-01	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.0019003932181084308	4
sub-01	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.047884690084470424	4
sub-01	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	0.006967641000530646	30
sub-01	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	0.012551008248563514	30
sub-01	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	-0.19116423298748308	4
sub-01	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	0.03194591489626883	4
sub-01	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	0.02484341578820814	30
sub-01	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	0.011470223849330946	30
sub-01	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	0.08284236368595714	4
sub-01	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	-0.02408221946264904	4
sub-01	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	0.030628763790114786	30
sub-01	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	-0.018288207227048582	30
sub-01	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	-0.08794539270419194	4
sub-01	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	-0.013611043627293054	4
sub-01	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	0.01375370983239495	30
sub-01	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	0.03863897880357093	30
sub-01	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	-0.1243406424885727	4
sub-01	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	0.04929716191807715	4
sub-01	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	0.030553681699669457	30
sub-01	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	-0.004031224623495469	30
sub-01	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	-0.024344205996365262	4
sub-01	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	0.032419104626584705	4
sub-01	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	-0.0374390812846971	30
sub-01	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	-0.0010109713051016016	30
sub-01	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	0.07719445104323387	4
sub-01	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	-0.01480197010555885	4
sub-02	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	0.06755472045586665	30
sub-02	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	0.004387139785777146	30
sub-02	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.02872864087574857	4
sub-02	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	0.07126474508981175	4
sub-02	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	0.028971349003704745	30
sub-02	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.011768980550836455	30
sub-02	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.0964879261925568	4
sub-02	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.018522969536706416	4
sub-02	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	0.04190263163807736	30
sub-02	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	0.044954442712801135	30
sub-02	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	-0.029660550468747097	4
sub-02	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	0.12467027241777329	4
sub-02	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	-0.01717629785977366	30
sub-02	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	0.011743269767605187	30
sub-02	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	-0.0766493544775227	4
sub-02	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	-0.1508540563872823	4
sub-02	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	-0.030449065357743887	30
sub-02	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	0.07293395130922943	30
sub-02	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	0.019854808834705834	4
sub-02	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	0.06955289522655461	4
sub-02	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	0.049294453662449444	30
sub-02	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.042187346937941336	30
sub-02	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	-0.06821161665930559	4
sub-02	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	0.06113645220410516	4
sub-02	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	0.04370766308056589	30
sub-02	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	0.017432030234870357	30
sub-02	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	-0.07560853722034393	4
sub-02	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	-0.017338614711784703	4
sub-02	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	0.012681363294581416	30
sub-02	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	-0.03436161059183838	30
sub-02	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	-0.4547241156787201	4
sub-02	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	-0.13421716556233243	4
sub-03	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	0.04177945228230292	30
sub-03	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.0020900931616894287	30
sub-03	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.011336716153009026	4
sub-03	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.09667300434511594	4
sub-03	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	-0.03965525340938847	30
sub-03	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.020269791737947532	30
sub-03	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.04272887159123632	4
sub-03	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.09550871544071542	4
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	-0.010871450991160927	30
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	-0.03256897630375908	30
sub-03	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.04464596890646437	4
