analysis_type	roi_set	roi	condition	condition_label	run	target_phase	n_subjects	mean_effect	t	p	cohens_dz	q_bh_within_family
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	26	0.018982164843347808	3.618552403218491	0.001309988765130347	0.7096565121141982	0.02619977530260694
one_sample_gt_zero	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	26	0.017020005327783503	3.285098435911272	0.0030141506694666338	0.6442608087994119	0.030141506694666337
one_sample_gt_zero	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	26	0.006515167771607945	1.54705499893777	0.13441670263222505	0.30340244723788284	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	26	0.00898271403451223	1.4786978197742737	0.15171145872031427	0.28999650145138955	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	26	-0.006908489290973226	-1.3933456153952535	0.17578084470731709	-0.2732575570030517	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	26	0.008257993986351513	1.3192808533411151	0.19903137595656423	0.2587322621190649	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	26	0.006948256220077936	1.202479240196378	0.24044372778546322	0.23582558117121372	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	26	-0.00634881428752805	-1.0921434095221212	0.28518354749790226	-0.2141869444921174	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	26	-0.005039661575640107	-1.0799479669199807	0.29047433303141873	-0.21179522142268606	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	26	-0.005916734735019822	-1.0730580416988629	0.293494206866345	-0.21044399591692928	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	26	-0.006648348377299939	-1.033950945208839	0.3110579713028287	-0.20277446329682974	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	26	0.007706868092384369	0.9919997133161864	0.3307026106117811	0.194547149833757	0.5511710176863018
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	26	0.004451101787505773	0.9271098469402522	0.3627341290069752	0.18182120003047564	0.5580525061645772
one_sample_gt_zero	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	26	-0.0033195378671907025	-0.8683205240942797	0.39347834505538537	-0.17029166524653255	0.5621119215076934
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	26	0.003564405113047166	0.7709161446372407	0.4479817792179315	0.15118909480188494	0.597309038957242
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	26	-0.04522528696824641	-2.298633138722848	0.030162683976777536	-0.45079904726687825	0.6032536795355508
one_sample_gt_zero	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	26	-0.005512848748647035	-0.7110926805856601	0.4836091331338265	-0.13945674824151086	0.6045114164172831
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	26	-0.0031832363587380452	-0.6449746848796384	0.5248187785806826	-0.1264899424605628	0.6174338571537442
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	26	0.01949627721670484	1.5358920602793824	0.13712540372537427	0.3012132148514152	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	26	-0.02201048424545305	-1.5174133112488846	0.1417073059418207	-0.2975892340093656	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	26	-0.02583578239956989	-1.3263033621962879	0.1967291453034716	-0.26010948941471507	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	26	0.024833153601688904	1.2781387737612382	0.21294068025468754	0.2506636364803118	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	26	-0.01963153241963009	-1.2156483802577	0.23547416728534498	-0.2384082620231336	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	26	0.01235782998344561	1.098030428236169	0.28265444591060923	0.21534148384980265	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	26	-0.01704026847478913	-0.9931928422027348	0.3301323719935557	-0.19478114165970864	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	26	0.017350764005520467	0.9514927159273133	0.3504634586757732	0.18660307405979876	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	26	-0.01697928117790378	-0.8592432842300466	0.3983707098777073	-0.1685114720466369	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	26	0.010175932271374772	0.8239342745754615	0.41776845536901874	0.16158680553762284	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	26	-0.011437436188591353	-0.8157878593387806	0.422326416182251	-0.15998916206617417	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	26	-0.015676469399390873	-0.7792444770111355	0.4431501771521317	-0.1528224151591994	0.6817695033109719
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	26	-0.011957776173639585	-0.6457033729801631	0.5243544090618526	-0.12663284995455892	0.7372684585446726
one_sample_gt_zero	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	26	-0.00910352531532453	-0.5702344893488003	0.5736083384194077	-0.11183218417358268	0.7372684585446726
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	26	-0.007321438645482772	-0.5461341015135343	0.5898147668357381	-0.107105709255999	0.7372684585446726
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	26	-0.007163398431864401	-0.37265798358246205	0.7125437972050919	-0.0730842434685813	0.8382868202412845
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	26	-0.001922228380698703	-0.28757743374232936	0.7760406398566686	-0.05639857485850283	0.8622673776185207
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	26	0.0015670680151728086	0.20962254986736373	0.8356611518532251	0.04111036431779863	0.879643317740237
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	26	0.003984623411239296	0.2242959939452904	0.8243500156366009	0.04398806345952788	0.9029814875027202
one_sample_gt_zero	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	26	-0.0037095244730557114	-0.180992985520893	0.8578324131275843	-0.035495644807478834	0.9029814875027202
one_sample_gt_zero	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	26	0.0019993014134908407	0.11778152606512486	0.9071819718761318	0.02309885768256957	0.9071819718761318
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	26	-0.0006048185785126122	-0.10012161272782259	0.9210463676956564	-0.019635463731982584	0.9210463676956564
