analysis_type	roi_set	roi	condition	condition_label	target_phase	n_subjects	mean_run3	mean_run4	mean_diff	t	p	cohens_dz	q_bh_within_family
run4_minus_run3	meta_spatial	meta_L_precuneus	yy	YY	retrieval	26	0.017020005327783503	-0.005512848748647035	-0.02253285407643054	-2.796883464823303	0.009780996374291629	-0.5485139755530394	0.09780996374291628
run4_minus_run3	meta_spatial	meta_L_RSC_PCC	yy	YY	retrieval	26	0.018982164843347808	-0.001922228380698703	-0.020904393224046504	-2.3427202351614387	0.02740478337698442	-0.4594452382298789	0.1370239168849221
run4_minus_run3	meta_spatial	meta_R_precuneus	yy	YY	retrieval	26	0.006515167771607945	-0.0033195378671907025	-0.009834705638798649	-1.7148922945670892	0.09873688211797695	-0.33631804898874973	0.300216963712615
run4_minus_run3	meta_spatial	meta_R_PPA_PHG	yy	YY	retrieval	26	0.006948256220077936	-0.005916734735019822	-0.01286499095509776	-1.6093936475770994	0.12008678548504602	-0.3156280620787653	0.300216963712615
run4_minus_run3	meta_spatial	meta_L_PPC_SPL	yy	YY	retrieval	26	0.003564405113047166	-0.00634881428752805	-0.009913219400575216	-1.3054171979570004	0.20363762549457737	-0.2560133756062446	0.3466968148195339
run4_minus_run3	meta_spatial	meta_R_hippocampus	yy	YY	retrieval	26	0.004451101787505773	-0.005039661575640107	-0.009490763363145879	-1.2924559687094372	0.20801808889172035	-0.25347146941957255	0.3466968148195339
run4_minus_run3	meta_spatial	meta_L_PPA_PHG	yy	YY	retrieval	26	-0.0006048185785126122	-0.006648348377299939	-0.006043529798787325	-0.6390110381596628	0.5286275992737628	-0.1253203751145117	0.6533863286978188
run4_minus_run3	meta_spatial	meta_R_RSC_PCC	yy	YY	retrieval	26	0.008257993986351513	0.0015670680151728086	-0.0066909259711787055	-0.602611862563317	0.5521944823861457	-0.11818190947434026	0.6533863286978188
run4_minus_run3	meta_spatial	meta_L_hippocampus	yy	YY	retrieval	26	-0.0031832363587380452	-0.006908489290973226	-0.003725252932235181	-0.5487458624191406	0.5880476958280368	-0.10761791771071151	0.6533863286978188
run4_minus_run3	meta_spatial	meta_L_hippocampus	kj	KJ	retrieval	26	0.010175932271374772	-0.02201048424545305	-0.032186416516827826	-1.7101892474653262	0.09961532015538085	-0.33539570556777915	0.8100235582996915
run4_minus_run3	meta_spatial	meta_L_PPA_PHG	kj	KJ	retrieval	26	-0.01963153241963009	-0.04522528696824641	-0.025593754548616312	-1.2751201505239351	0.21398985613908839	-0.25007163575757363	0.8100235582996915
run4_minus_run3	meta_spatial	meta_L_PPC_SPL	kj	KJ	retrieval	26	0.017350764005520467	-0.01697928117790378	-0.034330045183424245	-1.195765930091546	0.24300706748990747	-0.23450899273946996	0.8100235582996915
run4_minus_run3	meta_spatial	meta_R_hippocampus	kj	KJ	retrieval	26	0.01235782998344561	-0.007163398431864401	-0.019521228415310007	-0.825156096285402	0.41708750023658525	-0.1618264244892043	0.835041372413013
run4_minus_run3	meta_spatial	meta_R_PPA_PHG	kj	KJ	retrieval	26	0.003984623411239296	-0.011437436188591353	-0.015422059599830652	-0.7329885900373899	0.470383031825672	-0.14375088937851974	0.835041372413013
run4_minus_run3	meta_spatial	meta_L_precuneus	kj	KJ	retrieval	26	-0.00910352531532453	0.0019993014134908407	0.011102826728815381	0.4114355145246217	0.6842591557053391	0.08068914296715898	0.835041372413013
run4_minus_run3	meta_spatial	meta_R_precuneus	kj	KJ	retrieval	26	-0.0037095244730557114	-0.015676469399390873	-0.011966944926335162	-0.3731657457386812	0.71217059815447	-0.07318382382022842	0.835041372413013
run4_minus_run3	meta_spatial	meta_L_RSC_PCC	kj	KJ	retrieval	26	-0.02583578239956989	-0.01704026847478913	0.008795513924780759	0.350157305758079	0.7291536299628589	0.06867149749567385	0.835041372413013
run4_minus_run3	meta_spatial	meta_R_PPC_SPL	kj	KJ	retrieval	26	0.01949627721670484	0.024833153601688904	0.005336876384984066	0.2431266836460503	0.8098910750279871	0.04768106554562732	0.835041372413013
run4_minus_run3	meta_spatial	meta_R_RSC_PCC	kj	KJ	retrieval	26	-0.011957776173639585	-0.007321438645482772	0.004636337528156811	0.2104253207985873	0.835041372413013	0.04126780065023147	0.835041372413013
run4_minus_run3	meta_spatial	meta_R_PPC_SPL	yy	YY	retrieval	26	0.00898271403451223	0.007706868092384369	-0.001275845942127861	-0.11957774261844682	0.9057734066068203	-0.023451124730878306	0.9057734066068204
