analysis_type	roi_set	roi	condition	condition_label	variant	n_subjects	mean_ers	t	p	cohens_dz	q_bh_within_family
ers_one_sample_gt_zero	meta_metaphor	meta_L_AG	yy	YY	max_run_to_retrieval	26	0.2681741786680321	14.407482316053585	1.29898424155473e-13	2.8255397488961616	2.078374786487568e-12
ers_one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	max_run_to_retrieval	26	0.21518777049243962	12.891790633948935	1.5218379349504802e-12	2.528288154140704	1.2174703479603842e-11
ers_one_sample_gt_zero	meta_metaphor	meta_L_IFG	yy	YY	max_run_to_retrieval	26	0.19831205903418006	11.916159872342876	8.346682068320364e-12	2.336951219852601	4.4515637697708604e-11
ers_one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	yy	YY	max_run_to_retrieval	26	0.1594338599284959	10.771919014101709	7.003036226310478e-11	2.112547125067145	2.801214490524191e-10
ers_one_sample_gt_zero	meta_metaphor	meta_R_IFG	yy	YY	max_run_to_retrieval	26	0.20151485477473813	9.852684824615858	4.3224574832963926e-10	1.9322704685382985	1.2747885772153872e-09
ers_one_sample_gt_zero	meta_metaphor	meta_R_IFG	kj	KJ	max_run_to_retrieval	26	0.2258405445973411	9.803310936030764	4.780457164557702e-10	1.9225874523322466	1.2747885772153872e-09
ers_one_sample_gt_zero	meta_metaphor	meta_R_AG	yy	YY	max_run_to_retrieval	26	0.2311423770863844	9.424110587643922	1.0468203747019987e-09	1.8482201455635663	2.3927322850331398e-09
ers_one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	max_run_to_retrieval	26	0.23445180126298754	9.015099103596478	2.4891815400914127e-09	1.7680063940850486	4.978363080182825e-09
ers_one_sample_gt_zero	meta_metaphor	meta_L_AG	kj	KJ	max_run_to_retrieval	26	0.199171857758172	8.560591252686836	6.687430313716612e-09	1.6788700709746878	1.1888765002162867e-08
ers_one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	max_run_to_retrieval	26	0.19431381172276044	8.136844139758553	1.7223617235298923e-08	1.5957664249112296	2.7557787576478278e-08
ers_one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	yy	YY	max_run_to_retrieval	26	0.10448038019075295	7.903601512935032	2.9288441982603048e-08	1.5500237823891225	4.260137015651352e-08
ers_one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	max_run_to_retrieval	26	0.23241873886199502	7.540739014654835	6.7858521889108e-08	1.4788605916398243	9.047802918547733e-08
ers_one_sample_gt_zero	meta_metaphor	meta_R_AG	kj	KJ	max_run_to_retrieval	26	0.23664508798995965	7.265236482502746	1.2990786940258402e-07	1.4248300998133734	1.5988660849548803e-07
ers_one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	kj	KJ	max_run_to_retrieval	26	0.17186226167997468	5.671372049079946	6.636108537523673e-06	1.1122475671962824	7.226085475830274e-06
ers_one_sample_gt_zero	meta_metaphor	meta_L_IFG	kj	KJ	max_run_to_retrieval	26	0.15877946058722403	5.663276490564542	6.774455133590882e-06	1.1106598975484563	7.226085475830274e-06
ers_one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	kj	KJ	max_run_to_retrieval	26	0.11532178072211859	5.159555504532107	2.4677351769317445e-05	1.0118720845797802	2.4677351769317445e-05
ers_one_sample_gt_zero	meta_metaphor	meta_L_AG	yy	YY	run3_to_retrieval	26	0.11391761195806784	4.9880442629475805	3.8442062072810734e-05	0.9782359627474713	0.0006150729931649717
ers_one_sample_gt_zero	meta_metaphor	meta_L_AG	yy	YY	run4_to_retrieval	26	0.0961020454397912	4.039623589789061	0.0004474786699039298	0.7922353658424676	0.007159658718462877
ers_one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	run4_to_retrieval	26	0.059766959224784685	3.299269194088723	0.002910472457842872	0.6470399231251516	0.01930803965171587
ers_one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	run4_to_retrieval	26	0.07711783747152617	3.2106428407117837	0.0036202574346967257	0.6296588652294752	0.01930803965171587
ers_one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	run4_to_retrieval	26	0.10369690741089133	2.9775887584752416	0.00637180359270679	0.5839531993430682	0.02548721437082716
ers_yy_minus_kj	meta_metaphor	meta_L_AG	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.06900232090986011	3.0982311171921393	0.0047629390229297795	0.6076131124685805	0.038103512183438236
