subject	roi_set	roi	condition	condition_label	pair_id	word_label	variant	ers	memory	action_time	n_run3_trials	n_run4_trials	n_retrieval_trials
sub-01	meta_metaphor	meta_L_AG	yy	YY	1	yyw_1	run3_to_retrieval	0.5627073252814176	0.0	1148.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	1	yyw_1	run4_to_retrieval	0.13646337318878676	0.0	1148.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	1	yyw_1	max_run_to_retrieval	0.5627073252814176	0.0	1148.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	10	yyw_11	run3_to_retrieval	0.42085371597681653	1.0	822.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	10	yyw_11	run4_to_retrieval	-0.09855622747549857	1.0	822.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	10	yyw_11	max_run_to_retrieval	0.42085371597681653	1.0	822.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	11	yyw_12	run3_to_retrieval	-0.2664882575562666	1.0	637.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	11	yyw_12	run4_to_retrieval	0.5620274670581906	1.0	637.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	11	yyw_12	max_run_to_retrieval	0.5620274670581906	1.0	637.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	12	yyw_13	run3_to_retrieval	0.32087843540275535	1.0	832.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	12	yyw_13	run4_to_retrieval	0.16415209382598303	1.0	832.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	12	yyw_13	max_run_to_retrieval	0.32087843540275535	1.0	832.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	13	yyw_14	run3_to_retrieval	-0.3298495896785124	1.0	661.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	13	yyw_14	run4_to_retrieval	0.23768501694698643	1.0	661.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	13	yyw_14	max_run_to_retrieval	0.23768501694698643	1.0	661.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	14	yyw_15	run3_to_retrieval	0.26871735648804806	1.0	891.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	14	yyw_15	run4_to_retrieval	-0.2960753398174427	1.0	891.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	14	yyw_15	max_run_to_retrieval	0.26871735648804806	1.0	891.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	15	yyw_16	run3_to_retrieval	0.5746317408385182	1.0	1026.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	15	yyw_16	run4_to_retrieval	0.5293218328483266	1.0	1026.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	15	yyw_16	max_run_to_retrieval	0.5746317408385182	1.0	1026.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	16	yyw_17	run3_to_retrieval	-0.4990176910400699	1.0	594.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	16	yyw_17	run4_to_retrieval	0.15229240394005292	1.0	594.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	16	yyw_17	max_run_to_retrieval	0.15229240394005292	1.0	594.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	17	yyw_18	run3_to_retrieval	0.6816216019668333	0.0	902.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	17	yyw_18	run4_to_retrieval	0.10848568482224039	0.0	902.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	17	yyw_18	max_run_to_retrieval	0.6816216019668333	0.0	902.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	18	yyw_19	run3_to_retrieval	0.6801164848576452	1.0	665.0	1	1	2
