subject	roi_set	roi	condition	ok	fail_reason	n_pairs_with_all_three	n_shared_pairs
sub-01	meta_metaphor	meta_L_AG	yy	True		30	30
sub-01	meta_metaphor	meta_L_AG	kj	True		4	4
sub-01	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-01	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-01	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-01	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-01	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-01	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-01	meta_metaphor	meta_R_AG	yy	True		30	30
sub-01	meta_metaphor	meta_R_AG	kj	True		4	4
sub-01	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-01	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-01	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-01	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-01	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-01	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-02	meta_metaphor	meta_L_AG	yy	True		30	30
sub-02	meta_metaphor	meta_L_AG	kj	True		4	4
sub-02	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-02	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-02	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-02	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-02	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-02	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-02	meta_metaphor	meta_R_AG	yy	True		30	30
sub-02	meta_metaphor	meta_R_AG	kj	True		4	4
sub-02	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-02	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-02	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-02	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-02	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-02	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-03	meta_metaphor	meta_L_AG	yy	True		30	30
sub-03	meta_metaphor	meta_L_AG	kj	True		4	4
sub-03	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-03	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-03	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-03	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-03	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-03	meta_metaphor	meta_R_AG	yy	True		30	30
sub-03	meta_metaphor	meta_R_AG	kj	True		4	4
sub-03	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-03	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-03	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-03	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-03	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-03	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-04	meta_metaphor	meta_L_AG	yy	True		30	30
sub-04	meta_metaphor	meta_L_AG	kj	True		4	4
sub-04	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-04	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-04	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-04	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-04	meta_metaphor	meta_R_AG	yy	True		30	30
sub-04	meta_metaphor	meta_R_AG	kj	True		4	4
sub-04	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-04	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-04	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-04	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-05	meta_metaphor	meta_L_AG	yy	True		30	30
sub-05	meta_metaphor	meta_L_AG	kj	True		4	4
sub-05	meta_metaphor	meta_L_IFG	yy	True		30	30
sub-05	meta_metaphor	meta_L_IFG	kj	True		4	4
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	True		30	30
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	True		4	4
sub-05	meta_metaphor	meta_L_temporal_pole	yy	True		30	30
sub-05	meta_metaphor	meta_L_temporal_pole	kj	True		4	4
sub-05	meta_metaphor	meta_R_AG	yy	True		30	30
sub-05	meta_metaphor	meta_R_AG	kj	True		4	4
sub-05	meta_metaphor	meta_R_IFG	yy	True		30	30
sub-05	meta_metaphor	meta_R_IFG	kj	True		4	4
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	True		30	30
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	True		4	4
sub-05	meta_metaphor	meta_R_temporal_pole	yy	True		30	30
sub-05	meta_metaphor	meta_R_temporal_pole	kj	True		4	4
sub-06	meta_metaphor	meta_L_AG	yy	True		30	30
sub-06	meta_metaphor	meta_L_AG	kj	True		4	4
