subject	roi_set	roi	condition	condition_label	pair_id	word_label	variant	ers	memory	action_time	n_run3_trials	n_run4_trials	n_retrieval_trials
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	1	yyw_1	run3_to_retrieval	0.04689816828066045	0.0	1148.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	1	yyw_1	run4_to_retrieval	0.3515030153403611	0.0	1148.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	1	yyw_1	max_run_to_retrieval	0.3515030153403611	0.0	1148.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	10	yyw_11	run3_to_retrieval	0.3844711680542815	1.0	822.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	10	yyw_11	run4_to_retrieval	0.511453070996712	1.0	822.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	10	yyw_11	max_run_to_retrieval	0.511453070996712	1.0	822.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	11	yyw_12	run3_to_retrieval	-0.21391568102273584	1.0	637.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	11	yyw_12	run4_to_retrieval	0.44442740043794426	1.0	637.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	11	yyw_12	max_run_to_retrieval	0.44442740043794426	1.0	637.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	12	yyw_13	run3_to_retrieval	0.04235972806472361	1.0	832.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	12	yyw_13	run4_to_retrieval	-0.39138293867691726	1.0	832.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	12	yyw_13	max_run_to_retrieval	0.04235972806472361	1.0	832.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	13	yyw_14	run3_to_retrieval	0.02787118997848796	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	13	yyw_14	run4_to_retrieval	-0.12600522063893949	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	13	yyw_14	max_run_to_retrieval	0.02787118997848796	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	14	yyw_15	run3_to_retrieval	-0.31229169014099645	1.0	891.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	14	yyw_15	run4_to_retrieval	0.2251283607788854	1.0	891.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	14	yyw_15	max_run_to_retrieval	0.2251283607788854	1.0	891.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	15	yyw_16	run3_to_retrieval	-0.021245821065095937	1.0	1026.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	15	yyw_16	run4_to_retrieval	0.06488498218708247	1.0	1026.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	15	yyw_16	max_run_to_retrieval	0.06488498218708247	1.0	1026.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	16	yyw_17	run3_to_retrieval	-0.052694129462310176	1.0	594.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	16	yyw_17	run4_to_retrieval	-0.20805017614077922	1.0	594.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	16	yyw_17	max_run_to_retrieval	-0.052694129462310176	1.0	594.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	17	yyw_18	run3_to_retrieval	-0.2176867286177253	0.0	902.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	17	yyw_18	run4_to_retrieval	-0.13170328749122534	0.0	902.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	17	yyw_18	max_run_to_retrieval	-0.13170328749122534	0.0	902.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	18	yyw_19	run3_to_retrieval	0.05489749940612525	1.0	665.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	18	yyw_19	run4_to_retrieval	0.09560559729508668	1.0	665.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	18	yyw_19	max_run_to_retrieval	0.09560559729508668	1.0	665.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	19	yyw_21	run3_to_retrieval	0.3185677592099632	1.0	706.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	19	yyw_21	run4_to_retrieval	-0.3539098269653867	1.0	706.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	19	yyw_21	max_run_to_retrieval	0.3185677592099632	1.0	706.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	2	yyw_2	run3_to_retrieval	-0.2929435112057846	0.0	972.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	2	yyw_2	run4_to_retrieval	0.04103207097906136	0.0	972.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	2	yyw_2	max_run_to_retrieval	0.04103207097906136	0.0	972.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	21	yyw_23	run3_to_retrieval	-0.07721936780351056	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	21	yyw_23	run4_to_retrieval	0.16093344372939844	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	21	yyw_23	max_run_to_retrieval	0.16093344372939844	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	22	yyw_24	run3_to_retrieval	-0.35220986389380216	1.0	899.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	22	yyw_24	run4_to_retrieval	0.34396858777065414	1.0	899.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	22	yyw_24	max_run_to_retrieval	0.34396858777065414	1.0	899.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	23	yyw_26	run3_to_retrieval	-0.007819522426927966	0.0	994.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	23	yyw_26	run4_to_retrieval	0.030356325602485135	0.0	994.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	23	yyw_26	max_run_to_retrieval	0.030356325602485135	0.0	994.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	24	yyw_27	run3_to_retrieval	-0.497843386633988	1.0	619.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	24	yyw_27	run4_to_retrieval	0.2854308072654121	1.0	619.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	24	yyw_27	max_run_to_retrieval	0.2854308072654121	1.0	619.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	26	yyw_29	run3_to_retrieval	-0.4890100233831178	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	26	yyw_29	run4_to_retrieval	0.40952111523601425	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	26	yyw_29	max_run_to_retrieval	0.40952111523601425	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	27	yyw_32	run3_to_retrieval	-0.13529007100664842	1.0	667.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	27	yyw_32	run4_to_retrieval	0.4528956529717277	1.0	667.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	27	yyw_32	max_run_to_retrieval	0.4528956529717277	1.0	667.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	28	yyw_33	run3_to_retrieval	-0.020361614464311218	1.0	729.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	28	yyw_33	run4_to_retrieval	0.22195859876450036	1.0	729.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	28	yyw_33	max_run_to_retrieval	0.22195859876450036	1.0	729.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	29	yyw_7	run3_to_retrieval	-0.03208851745361146	1.0	605.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	29	yyw_7	run4_to_retrieval	-0.18869136312506202	1.0	605.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	29	yyw_7	max_run_to_retrieval	-0.03208851745361146	1.0	605.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	3	yyw_3	run3_to_retrieval	0.018261808472296002	1.0	588.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	3	yyw_3	run4_to_retrieval	0.38139100053934044	1.0	588.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	3	yyw_3	max_run_to_retrieval	0.38139100053934044	1.0	588.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	32	yyw_37	run3_to_retrieval	0.06286307199824108	0.0	1118.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	32	yyw_37	run4_to_retrieval	0.07419465709127367	0.0	1118.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	32	yyw_37	max_run_to_retrieval	0.07419465709127367	0.0	1118.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	33	yyw_38	run3_to_retrieval	-0.34465949263935197	1.0	625.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	33	yyw_38	run4_to_retrieval	-0.16898099597383065	1.0	625.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	33	yyw_38	max_run_to_retrieval	-0.16898099597383065	1.0	625.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	35	yyw_40	run3_to_retrieval	-0.39157724856880033	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	35	yyw_40	run4_to_retrieval	0.18266969012599793	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	35	yyw_40	max_run_to_retrieval	0.18266969012599793	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	4	yyw_4	run3_to_retrieval	-0.005311344908322497	1.0	713.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	4	yyw_4	run4_to_retrieval	0.1820949964645307	1.0	713.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	4	yyw_4	max_run_to_retrieval	0.1820949964645307	1.0	713.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	5	yyw_5	run3_to_retrieval	-0.03266299089999312	0.0	642.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	5	yyw_5	run4_to_retrieval	-0.18672658686686766	0.0	642.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	5	yyw_5	max_run_to_retrieval	-0.03266299089999312	0.0	642.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	6	yyw_6	run3_to_retrieval	-0.30242975513840986	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	6	yyw_6	run4_to_retrieval	-0.2185358256984878	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	6	yyw_6	max_run_to_retrieval	-0.2185358256984878	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	7	yyw_8	run3_to_retrieval	0.05706143879157941	1.0	605.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	7	yyw_8	run4_to_retrieval	-0.011350103430885564	1.0	605.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	7	yyw_8	max_run_to_retrieval	0.05706143879157941	1.0	605.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	8	yyw_9	run3_to_retrieval	-0.3584904919117075	1.0	1161.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	8	yyw_9	run4_to_retrieval	0.16847308630704466	1.0	1161.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	8	yyw_9	max_run_to_retrieval	0.16847308630704466	1.0	1161.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	9	yyw_10	run3_to_retrieval	-0.06852885914990191	1.0	621.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	9	yyw_10	run4_to_retrieval	0.08594171900943491	1.0	621.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	9	yyw_10	max_run_to_retrieval	0.08594171900943491	1.0	621.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	36	kjw_1	run3_to_retrieval	-0.297259810607575	0.0	1211.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	36	kjw_1	run4_to_retrieval	0.11058055705817915	0.0	1211.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	36	kjw_1	max_run_to_retrieval	0.11058055705817915	0.0	1211.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	37	kjw_2	run3_to_retrieval	0.11225688015155505	0.0	840.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	37	kjw_2	run4_to_retrieval	0.17692894688191665	0.0	840.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	37	kjw_2	max_run_to_retrieval	0.17692894688191665	0.0	840.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	38	kjw_3	run3_to_retrieval	-0.22718830298343806	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	38	kjw_3	run4_to_retrieval	0.09874812334771287	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	38	kjw_3	max_run_to_retrieval	0.09874812334771287	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	39	kjw_5	run3_to_retrieval	-0.2648020269386504	1.0	1225.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	39	kjw_5	run4_to_retrieval	0.3891643058911807	1.0	1225.0	1	1	2
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	39	kjw_5	max_run_to_retrieval	0.3891643058911807	1.0	1225.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	1	yyw_1	run3_to_retrieval	0.20718763246573935	0.0	1148.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	1	yyw_1	run4_to_retrieval	0.12893053048822795	0.0	1148.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	1	yyw_1	max_run_to_retrieval	0.20718763246573935	0.0	1148.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	10	yyw_11	run3_to_retrieval	0.06176257602109808	1.0	822.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	10	yyw_11	run4_to_retrieval	0.12374520483189716	1.0	822.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	10	yyw_11	max_run_to_retrieval	0.12374520483189716	1.0	822.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	11	yyw_12	run3_to_retrieval	0.494283110655171	1.0	637.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	11	yyw_12	run4_to_retrieval	0.10730589713742658	1.0	637.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	11	yyw_12	max_run_to_retrieval	0.494283110655171	1.0	637.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	12	yyw_13	run3_to_retrieval	0.3606022946967954	1.0	832.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	12	yyw_13	run4_to_retrieval	-0.1602168676840639	1.0	832.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	12	yyw_13	max_run_to_retrieval	0.3606022946967954	1.0	832.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	13	yyw_14	run3_to_retrieval	0.3158466839121421	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	13	yyw_14	run4_to_retrieval	0.18186325411326854	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	13	yyw_14	max_run_to_retrieval	0.3158466839121421	1.0	661.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	14	yyw_15	run3_to_retrieval	-0.23894822073952002	1.0	891.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	14	yyw_15	run4_to_retrieval	0.003233761945303131	1.0	891.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	14	yyw_15	max_run_to_retrieval	0.003233761945303131	1.0	891.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	15	yyw_16	run3_to_retrieval	0.07490624715609431	1.0	1026.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	15	yyw_16	run4_to_retrieval	0.21072069777508534	1.0	1026.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	15	yyw_16	max_run_to_retrieval	0.21072069777508534	1.0	1026.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	16	yyw_17	run3_to_retrieval	0.19835526062916867	1.0	594.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	16	yyw_17	run4_to_retrieval	-0.027610872409218046	1.0	594.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	16	yyw_17	max_run_to_retrieval	0.19835526062916867	1.0	594.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	17	yyw_18	run3_to_retrieval	-0.20802627657109027	0.0	902.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	17	yyw_18	run4_to_retrieval	-0.3540256471366697	0.0	902.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	17	yyw_18	max_run_to_retrieval	-0.20802627657109027	0.0	902.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	18	yyw_19	run3_to_retrieval	0.10094140527035501	1.0	665.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	18	yyw_19	run4_to_retrieval	-0.4775340379355997	1.0	665.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	18	yyw_19	max_run_to_retrieval	0.10094140527035501	1.0	665.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	19	yyw_21	run3_to_retrieval	0.0405306422458269	1.0	706.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	19	yyw_21	run4_to_retrieval	-0.05784202797328564	1.0	706.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	19	yyw_21	max_run_to_retrieval	0.0405306422458269	1.0	706.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	2	yyw_2	run3_to_retrieval	0.24008253813108368	0.0	972.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	2	yyw_2	run4_to_retrieval	-0.10088317951006326	0.0	972.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	2	yyw_2	max_run_to_retrieval	0.24008253813108368	0.0	972.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	21	yyw_23	run3_to_retrieval	0.046161871132526136	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	21	yyw_23	run4_to_retrieval	-0.12489412843175483	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	21	yyw_23	max_run_to_retrieval	0.046161871132526136	1.0	634.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	22	yyw_24	run3_to_retrieval	-0.1563425698785888	1.0	899.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	22	yyw_24	run4_to_retrieval	-0.08648333265358422	1.0	899.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	22	yyw_24	max_run_to_retrieval	-0.08648333265358422	1.0	899.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	23	yyw_26	run3_to_retrieval	-0.34048751152601847	0.0	994.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	23	yyw_26	run4_to_retrieval	-0.1726399344725835	0.0	994.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	23	yyw_26	max_run_to_retrieval	-0.1726399344725835	0.0	994.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	24	yyw_27	run3_to_retrieval	-0.047184480817166696	1.0	619.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	24	yyw_27	run4_to_retrieval	0.24569626075759948	1.0	619.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	24	yyw_27	max_run_to_retrieval	0.24569626075759948	1.0	619.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	26	yyw_29	run3_to_retrieval	0.12122085937068607	1.0	675.0	1	1	2
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	26	yyw_29	run4_to_retrieval	-0.17925194776357364	1.0	675.0	1	1	2
