roi_set	roi	variant	response	status	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_p	interaction_beta	interaction_p	family	q_bh_within_family
meta_spatial	meta_L_precuneus	max_run_to_retrieval	memory	ok	884	26	0.4588115299386915	0.17502707485589322	0.00875759718618631	0.5359065560039479	0.0032927888467360095	-0.3504496435412493	0.07079193911204569	binomial	0.0875759718618631
meta_spatial	meta_L_precuneus	run3_to_retrieval	memory	ok	884	26	0.43159854736358033	0.1652625131160158	0.009012127310872375	0.5564131538490126	0.0019603225972226173	-0.39389269289315937	0.01925470200155342	binomial	0.09012127310872375
meta_spatial	meta_L_hippocampus	run4_to_retrieval	log_rt_correct	ok	614	26	-0.05931120896245987	0.02540052903437312	0.019541418328254838	-0.06913135851660208	0.07652529519741881	0.05636350651403151	0.023044944963825455	gaussian	0.1954141832825484
meta_spatial	meta_L_PPC_SPL	max_run_to_retrieval	memory	ok	884	26	0.30466911100244615	0.14861338599685062	0.040356768744856365	0.5764589980391123	0.0005187697872800955	-0.34436028495363624	0.04738625785347006	binomial	0.20178384372428182
meta_spatial	meta_R_PPC_SPL	run4_to_retrieval	log_rt_correct	ok	614	26	0.04735996845019147	0.027686337053704987	0.0871568453143219	-0.060937957737035475	0.135212112474226	-0.04850851163433636	0.10001958865494291	gaussian	0.30716508447766033
meta_spatial	meta_R_hippocampus	run4_to_retrieval	log_rt_correct	ok	614	26	-0.045550118386040686	0.027046092276056918	0.0921495253432981	-0.07332879690472051	0.06793753763693333	0.060245412949618084	0.026916503921046823	gaussian	0.30716508447766033
meta_spatial	meta_R_precuneus	run3_to_retrieval	memory	ok	884	26	0.333946542198158	0.17928924757750775	0.0625166877553394	0.5505136990977051	0.0028153083543728534	-0.3506241649684104	0.09773903977539877	binomial	0.31258343877669703
meta_spatial	meta_L_precuneus	run4_to_retrieval	memory	ok	884	26	0.44737350083544425	0.21104008962210918	0.03401863044395809	0.6064017279599233	0.0006053235238065614	-0.4598801345053886	0.03614158287779712	binomial	0.34018630443958087
meta_spatial	meta_L_PPA_PHG	run4_to_retrieval	memory	ok	884	26	-0.3265736852243738	0.18186560361348128	0.07254432361780136	0.6042480871702848	0.0004896664416675191	0.33666245309423964	0.037956407243617145	binomial	0.3627216180890068
meta_spatial	meta_L_PPC_SPL	run4_to_retrieval	memory	ok	884	26	0.23990687715833275	0.15431909022167584	0.12003762747415672	0.5611120888948503	0.0008168214281481356	-0.3338482969418285	0.01534824921483401	binomial	0.4001254249138557
meta_spatial	meta_R_RSC_PCC	run4_to_retrieval	memory	ok	884	26	0.25973804876413903	0.18545751991939446	0.16135591121051263	0.5649611285530258	0.0008324516695309451	-0.2961631901856149	0.15289797521712006	binomial	0.40338977802628156
meta_spatial	meta_L_PPA_PHG	max_run_to_retrieval	memory	ok	884	26	-0.2911518598233529	0.20635971651331095	0.15827562301100517	0.6060798549977513	0.00042762470476705584	0.27549261097390754	0.1646991389039506	binomial	0.49971836470869085
meta_spatial	meta_R_RSC_PCC	max_run_to_retrieval	memory	ok	884	26	0.24844505918222443	0.19381416046633665	0.19988734588347634	0.5530646453638389	0.0014009823910995293	-0.2916470657064455	0.1212999378995482	binomial	0.49971836470869085
meta_spatial	meta_R_PPA_PHG	run4_to_retrieval	memory	ok	884	26	0.21341714116329674	0.1945294124939484	0.27260010083176256	0.5766832072994368	0.0011898338984908166	-0.26824206723035565	0.19299041147794038	binomial	0.5452002016635251
meta_spatial	meta_R_precuneus	max_run_to_retrieval	memory	ok	884	26	0.14431519122371742	0.14327533053646813	0.31381091355225743	0.5761857783833576	0.0009610307477240064	-0.059238558780584705	0.7062203753100027	binomial	0.6276218271045149
meta_spatial	meta_L_precuneus	run4_to_retrieval	log_rt_correct	ok	614	26	0.023941194327347655	0.025174454518409568	0.34159856684570966	-0.06215847165468285	0.13160049342296243	-0.04163230168008032	0.10353646346014218	gaussian	0.6734669483576476
meta_spatial	meta_L_RSC_PCC	run4_to_retrieval	log_rt_correct	ok	614	26	-0.027643492378340805	0.03607569727869554	0.44351949346268427	-0.06689555538091355	0.09425427094036871	0.022594879597535478	0.4956479614833714	gaussian	0.6734669483576476
meta_spatial	meta_R_RSC_PCC	run4_to_retrieval	log_rt_correct	ok	614	26	-0.020173481509130328	0.03242532826850956	0.5338419518661333	-0.06988556228572082	0.08363751155527412	0.028281946191799107	0.35677163990136074	gaussian	0.6734669483576476
meta_spatial	meta_L_PPA_PHG	run4_to_retrieval	log_rt_correct	ok	614	26	0.015246736636353413	0.02854938644081063	0.5933084728053112	-0.07185511661349993	0.07541840546220108	-0.007063924589240902	0.8171005866805587	gaussian	0.6734669483576476
meta_spatial	meta_R_PPA_PHG	run4_to_retrieval	log_rt_correct	ok	614	26	0.026352314063705997	0.05099170382939829	0.6052984974329769	-0.06724618897990066	0.099239916120668	-0.02684904551190581	0.5463380926179402	gaussian	0.6734669483576476
meta_spatial	meta_R_precuneus	run4_to_retrieval	log_rt_correct	ok	614	26	-0.02347894025987973	0.04553540841540294	0.6061202535218829	-0.06876532009602816	0.09333858148974422	0.023444079047329747	0.5882808608223846	gaussian	0.6734669483576476
meta_spatial	meta_L_PPA_PHG	run3_to_retrieval	memory	ok	884	26	-0.2080349700899841	0.18030470598704704	0.24858353806009037	0.5980038476861869	0.0006215143977353559	0.21353217817708664	0.23890347491336272	binomial	0.6905942464337897
meta_spatial	meta_L_PPC_SPL	run3_to_retrieval	memory	ok	884	26	0.16055312135919264	0.14745743267830322	0.2762376985735159	0.5841592484320123	0.0007709943650558812	-0.16662133159062395	0.30318622998426414	binomial	0.6905942464337897
meta_spatial	meta_L_PPC_SPL	run3_to_retrieval	log_rt_correct	ok	614	26	-0.044255700702658746	0.02725749499992622	0.10445782220654778	-0.07302316875676641	0.08284508311285017	0.04903237959569769	0.08531170173676925	gaussian	0.7047390286194122
meta_spatial	meta_L_precuneus	run3_to_retrieval	log_rt_correct	ok	614	26	-0.05851532382029531	0.041140775732980306	0.15493354695432174	-0.07602064467406053	0.0646090417515646	0.06761554375670975	0.06959911066580005	gaussian	0.7047390286194122
meta_spatial	meta_L_RSC_PCC	run3_to_retrieval	log_rt_correct	ok	614	26	-0.035224918010797066	0.028187473888300688	0.21142170858582365	-0.06627854578187085	0.09861657549107315	0.04704875235160456	0.12827681383363795	gaussian	0.7047390286194122
meta_spatial	meta_R_PPC_SPL	run4_to_retrieval	memory	ok	884	26	0.17978279169535788	0.23774801185804306	0.44953497834805234	0.6017856139912876	0.0006146010336052734	-0.1684080133577085	0.5167047943399383	binomial	0.7133718049915949
meta_spatial	meta_L_RSC_PCC	run4_to_retrieval	memory	ok	884	26	-0.1091719621696076	0.19040954402851226	0.5664054261166992	0.5870898580112496	0.0007264358029307851	0.161958622178707	0.450033700571843	binomial	0.7133718049915949
meta_spatial	meta_L_hippocampus	run4_to_retrieval	memory	ok	884	26	0.08721788053279753	0.15381673920612124	0.5706974439932759	0.5903962539173233	0.0005552747513081801	0.027097879504614925	0.8801057830908408	binomial	0.7133718049915949
meta_spatial	meta_L_RSC_PCC	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.06229371807240446	0.03589562540005562	0.08266776238508937	-0.06638366987792298	0.08116017042054942	0.0661172281318019	0.07997784273004725	gaussian	0.7763205307375163
meta_spatial	meta_R_hippocampus	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.03956842273083422	0.03359307777273171	0.23884672494930137	-0.06672120227148723	0.09781497373820695	0.03372843149603162	0.29441206012132626	gaussian	0.7763205307375163
meta_spatial	meta_L_hippocampus	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.04077967052011534	0.03755420501975494	0.27752842949756296	-0.06776919889734344	0.09050984214871143	0.037778123316211124	0.28729729859732245	gaussian	0.7763205307375163
meta_spatial	meta_R_PPA_PHG	max_run_to_retrieval	log_rt_correct	ok	614	26	0.027085215875273627	0.026708247489561784	0.3105282122950065	-0.0694166507940071	0.08182418382444205	-0.03353955220493762	0.21483122552667633	gaussian	0.7763205307375163
meta_spatial	meta_R_hippocampus	max_run_to_retrieval	memory	ok	884	26	-0.07924607040820475	0.18506912511215273	0.6685075970425052	0.5919871933772669	0.0005030440691497895	0.047921107501645605	0.8185514370535247	binomial	0.784600252214488
meta_spatial	meta_R_PPC_SPL	max_run_to_retrieval	memory	ok	884	26	0.08146173799307263	0.19367274538367282	0.6740359513317083	0.5934382192453643	0.0005973613832499202	-0.06919119284287982	0.7061767385211134	binomial	0.784600252214488
meta_spatial	meta_L_RSC_PCC	max_run_to_retrieval	memory	ok	884	26	0.07985528265403911	0.19256561101151684	0.6783679054867408	0.5823884077866526	0.0008462054395798283	-0.0015712226272466324	0.9942855778863151	binomial	0.784600252214488
meta_spatial	meta_R_PPA_PHG	max_run_to_retrieval	memory	ok	884	26	-0.06836360699328525	0.18131422644486844	0.7061402269930392	0.5897664191169183	0.0007119049852977008	0.008064409421893196	0.963533291555526	binomial	0.784600252214488
