analysis_type	roi_set	roi	phase	metric	n_subjects	mean_effect	t	p	cohens_dz	q_bh_within_roi_set
one_sample_gt_zero	meta_metaphor	meta_R_AG	pre	between_minus_within	28	-0.0036656101369353378	-6.577277474642015	4.6927709224938817e-07	-1.2429886072692649	1.1262650213985316e-05
one_sample_gt_zero	meta_metaphor	meta_L_AG	pre	between_minus_within	28	-0.0017552020388264217	-2.390490217887369	0.024065531546845997	-0.45176018771875603	0.14439318928107597
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	pre	between_minus_within	28	-0.0017175381264664233	-1.9162188190081666	0.06598045974415488	-0.3621313180483927	0.20751126917004437
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	pre	between_minus_within	28	-0.0019265501578277539	-1.91120390136002	0.06664851573661885	-0.3611835876953595	0.20751126917004437
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	pre	between_minus_within	28	-0.0016685991726827023	-1.8926580451232349	0.06917042305668146	-0.3576787503058388	0.20751126917004437
one_sample_gt_zero	meta_metaphor	meta_R_IFG	pre	between_minus_within	28	-0.0013048501974674079	-1.2843768867443897	0.20992152509731518	-0.2427244165717876	0.41984305019463036
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	pre	between_minus_within	28	-0.00107246192684685	-0.9991657428350309	0.3265854352552404	-0.18882457671975778	0.5225366964083846
one_sample_gt_zero	meta_metaphor	meta_L_IFG	pre	between_minus_within	28	-0.0006713767700401203	-0.7913232490015849	0.435652234380307	-0.14954603739441677	0.615038448536904
one_sample_gt_zero	meta_metaphor	meta_L_AG	post	between_minus_within	28	-0.0021553272570389898	-3.48047754649671	0.0017175144226545369	-0.6577484308410385	0.02061017307185444
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	post	between_minus_within	28	-0.00229108290120287	-3.122696179043617	0.0042441703585368775	-0.590134107840074	0.03395336286829502
one_sample_gt_zero	meta_metaphor	meta_L_IFG	post	between_minus_within	28	-0.001053718674984839	-1.0266190274061928	0.31370996592911204	-0.19401275983741356	0.5225366964083846
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	post	between_minus_within	28	-0.0007257577380377277	-0.6438696147410589	0.525092125142255	-0.12167991981112923	0.7001228335230066
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	post	between_minus_within	28	-0.00042833429355034917	-0.3241811887996315	0.7482989584900228	-0.06126448609207876	0.8592923157337179
one_sample_gt_zero	meta_metaphor	meta_R_IFG	post	between_minus_within	28	0.0004117180364478818	0.3098356428812522	0.7590647288779705	0.05855343274054381	0.8592923157337179
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	post	between_minus_within	28	0.00035847212753411676	0.27200864957271514	0.787684622755908	0.051404802944851426	0.8592923157337179
one_sample_gt_zero	meta_metaphor	meta_R_AG	post	between_minus_within	28	-0.0002972308414003834	-0.1682383419352243	0.8676496997653244	-0.03179405812474661	0.905373599755121
one_sample_gt_zero	meta_metaphor	meta_L_IFG	retrieval	between_minus_within	26	0.002265301061775159	2.042297142096801	0.05180392141606288	0.40052742231178323	0.20751126917004437
one_sample_gt_zero	meta_metaphor	meta_R_IFG	retrieval	between_minus_within	26	-0.0014844164887215943	-1.645843177776791	0.11231202793659455	-0.3227764030691314	0.2994987411642521
one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	retrieval	between_minus_within	26	-0.0015698541912169428	-1.556823156157694	0.13208258972061024	-0.3053181404792765	0.31699821532946454
one_sample_gt_zero	meta_metaphor	meta_L_AG	retrieval	between_minus_within	26	0.001671500161370606	1.4975720857732053	0.14676513897483842	0.2936980495526701	0.3202148486723747
one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	retrieval	between_minus_within	26	-0.0011150996405746827	-1.0904275167697337	0.2859237528051127	-0.21385043023720757	0.5225366964083846
one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	retrieval	between_minus_within	26	-0.0010016451728821036	-0.9390011000173355	0.3567145935461925	-0.18415326662590323	0.5350718903192888
one_sample_gt_zero	meta_metaphor	meta_R_AG	retrieval	between_minus_within	26	0.0006572883133507593	0.5450246072768159	0.5905662159204565	0.10688811953433569	0.7459783780047872
one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	retrieval	between_minus_within	26	-4.72366007098597e-05	-0.031034465337609136	0.9754884913010422	-0.006086359398091841	0.9754884913010423
