analysis_type	module	roi_set	roi	metric	phase_a	phase_b	n	mean_a	mean_b	mean_diff	t	p	cohens_dz	q_bh_within_roi_set
paired_t	word_level	meta_metaphor	meta_L_AG	between_minus_within	post	pre	28.0	-0.0021553272570389898	-0.0017552020388264217	-0.0004001252182125681	-0.43048837272357726	0.6702573884525003	-0.08135465546653332	0.902188264916985
paired_t	word_level	meta_metaphor	meta_L_AG	between_minus_within	retrieval	pre	26.0	0.001671500161370606	-0.0017603230128193264	0.003431823174189932	2.418199813891974	0.0232133630371057	0.47424800149236973	0.18570690429684564
paired_t	word_level	meta_metaphor	meta_L_AG	between_minus_within	retrieval	post	26.0	0.001671500161370606	-0.002305072240959558	0.003976572402330163	3.128748625081322	0.004422392707426267	0.6135980881698562	0.0530687124891152
paired_t	word_level	meta_metaphor	meta_L_IFG	between_minus_within	post	pre	28.0	-0.001053718674984839	-0.0006713767700401203	-0.0003823419049447187	-0.31947716931737763	0.7518235540974875	-0.06037550996976114	0.902188264916985
paired_t	word_level	meta_metaphor	meta_L_IFG	between_minus_within	retrieval	pre	26.0	0.002265301061775159	-0.0006661740596998328	0.0029314751214749918	1.9918609480159255	0.05741654375922823	0.3906360708575626	0.2755994100442955
paired_t	word_level	meta_metaphor	meta_L_IFG	between_minus_within	retrieval	post	26.0	0.002265301061775159	-0.0008162526158256642	0.0030815536776008234	2.2567040573456856	0.033017866966731334	0.44257607787729475	0.198107201800388
paired_t	word_level	meta_metaphor	meta_L_pMTG_pSTS	between_minus_within	post	pre	28.0	-0.00229108290120287	-0.0017175381264664233	-0.0005735447747364467	-0.5292793004704271	0.6009367443324569	-0.10002438593849872	0.902188264916985
paired_t	word_level	meta_metaphor	meta_L_pMTG_pSTS	between_minus_within	retrieval	pre	26.0	-0.0015698541912169428	-0.0017620955848036306	0.00019224139358668788	0.127062878864372	0.8999071164064132	0.024919080722411883	0.9390335127719094
paired_t	word_level	meta_metaphor	meta_L_pMTG_pSTS	between_minus_within	retrieval	post	26.0	-0.0015698541912169428	-0.002361247364961081	0.000791393173744138	0.5951469309812888	0.5570945542952086	0.11671791594340192	0.902188264916985
paired_t	word_level	meta_metaphor	meta_L_temporal_pole	between_minus_within	post	pre	28.0	-0.0007257577380377277	-0.0019265501578277539	0.001200792419790026	0.7302037987591196	0.47155433821440684	0.13799554699366323	0.902188264916985
paired_t	word_level	meta_metaphor	meta_L_temporal_pole	between_minus_within	retrieval	pre	26.0	-0.0010016451728821036	-0.001839077411327426	0.0008374322384453224	0.5175367395341992	0.6093309903929633	0.10149730514946416	0.902188264916985
paired_t	word_level	meta_metaphor	meta_L_temporal_pole	between_minus_within	retrieval	post	26.0	-0.0010016451728821036	-0.0010216451146506933	1.999994176858969e-05	0.011537456890795628	0.990886224139581	0.0022626814547462484	0.9908862241395809
paired_t	word_level	meta_metaphor	meta_R_AG	between_minus_within	post	pre	28.0	-0.0002972308414003834	-0.0036656101369353378	0.0033683792955349545	1.865235755089218	0.07305088821438603	0.3524964246051321	0.2922035528575441
paired_t	word_level	meta_metaphor	meta_R_AG	between_minus_within	retrieval	pre	26.0	0.0006572883133507593	-0.0037262295544850475	0.004383517867835807	3.2688844765904213	0.003137158744772435	0.6410809897621191	0.0530687124891152
paired_t	word_level	meta_metaphor	meta_R_AG	between_minus_within	retrieval	post	26.0	0.0006572883133507593	-0.0002586634203161631	0.0009159517336669224	0.3835593144217641	0.7045476386588465	0.0752221703406479	0.902188264916985
paired_t	word_level	meta_metaphor	meta_R_IFG	between_minus_within	post	pre	28.0	0.0004117180364478818	-0.0013048501974674079	0.0017165682339152896	1.0118366954268043	0.3205983664223989	0.19121916167919506	0.8549289771263971
paired_t	word_level	meta_metaphor	meta_R_IFG	between_minus_within	retrieval	pre	26.0	-0.0014844164887215943	-0.0010552654432694742	-0.00042915104545212016	-0.26727933797775083	0.7914467010122006	-0.052417790766488954	0.9045105154425149
paired_t	word_level	meta_metaphor	meta_R_IFG	between_minus_within	retrieval	post	26.0	-0.0014844164887215943	0.0008256891389090437	-0.0023101056276306382	-1.4670998787645702	0.1548171271904753	-0.2877219580850059	0.5308015789387724
paired_t	word_level	meta_metaphor	meta_R_pMTG_pSTS	between_minus_within	post	pre	28.0	0.00035847212753411676	-0.0016685991726827023	0.002027071300216819	1.2627670404864013	0.21747024452171737	0.2386405394954321	0.6524107335651521
paired_t	word_level	meta_metaphor	meta_R_pMTG_pSTS	between_minus_within	retrieval	pre	26.0	-0.0011150996405746827	-0.001656411984654771	0.0005413123440800882	0.45726132673075653	0.6514320912706785	0.08967632414659438	0.902188264916985
paired_t	word_level	meta_metaphor	meta_R_pMTG_pSTS	between_minus_within	retrieval	post	26.0	-0.0011150996405746827	0.0004807275790522135	-0.0015958272196268963	-0.9266706365095033	0.3629577492863326	-0.18173506377828474	0.8710985982871982
paired_t	word_level	meta_metaphor	meta_R_temporal_pole	between_minus_within	post	pre	28.0	-0.00042833429355034917	-0.00107246192684685	0.0006441276332965007	0.35512300576037065	0.7252566176343287	0.06711193986283562	0.902188264916985
paired_t	word_level	meta_metaphor	meta_R_temporal_pole	between_minus_within	retrieval	pre	26.0	-4.72366007098597e-05	-0.001355094762203878	0.0013078581614940183	0.7926713540743731	0.4354275692743146	0.15545564239581708	0.902188264916985
paired_t	word_level	meta_metaphor	meta_R_temporal_pole	between_minus_within	retrieval	post	26.0	-4.72366007098597e-05	-0.0002958190190017153	0.0002485824182918556	0.14453029263378758	0.8862405859819659	0.028344722401729167	0.9390335127719094
