subject,roi_set,roi,phase,within_yy,within_kj,within,between,between_minus_within
sub-01,meta_spatial,meta_L_PPA_PHG,pre,0.7730442979864627,0.8558508596995903,0.8144475788430265,0.8221150583933475,0.007667479550320988
sub-01,meta_spatial,meta_L_PPA_PHG,run3,0.7849109228541908,0.7124034346099882,0.7486571787320895,0.7774710181216115,0.028813839389521978
sub-01,meta_spatial,meta_L_PPA_PHG,run4,0.6751093984829596,0.5052685757147107,0.5901889870988352,0.6013226862090396,0.011133699110204454
sub-01,meta_spatial,meta_L_PPA_PHG,post,0.8816191768720053,0.8379555845021349,0.8597873806870702,0.8621125803837434,0.002325199696673219
sub-01,meta_spatial,meta_L_PPA_PHG,retrieval,0.7576567601001285,0.8060529067169058,0.7818548334085171,0.7852587009886548,0.003403867580137665
sub-02,meta_spatial,meta_L_PPA_PHG,pre,0.8133285725880851,0.8021671198869167,0.807747846237501,0.8144949781803551,0.006747131942854145
sub-02,meta_spatial,meta_L_PPA_PHG,run3,0.6247726959964118,0.8226639295433438,0.7237183127698779,0.7334196395419419,0.009701326772064034
sub-02,meta_spatial,meta_L_PPA_PHG,run4,0.8511796170421834,0.7694379226763974,0.8103087698592903,0.8213185870420436,0.01100981718275329
sub-02,meta_spatial,meta_L_PPA_PHG,post,0.8306017932716447,0.8675859240845633,0.849093858678104,0.8440287591399172,-0.005065099538186901
sub-02,meta_spatial,meta_L_PPA_PHG,retrieval,0.8334043079721939,0.8677291466797433,0.8505667273259686,0.8462291645091073,-0.004337562816861262
sub-03,meta_spatial,meta_L_PPA_PHG,pre,0.6686111814050066,0.7144646953722081,0.6915379383886073,0.6885219719250099,-0.0030159664635974748
sub-03,meta_spatial,meta_L_PPA_PHG,run3,0.7605163137155019,0.585085389346176,0.672800851530839,0.7322009763551873,0.05940012482434831
sub-03,meta_spatial,meta_L_PPA_PHG,run4,0.6404744809145055,0.6127299365612117,0.6266022087378587,0.6189883582851724,-0.007613850452686255
sub-03,meta_spatial,meta_L_PPA_PHG,post,0.8402042671389941,0.8753890572393878,0.8577966621891909,0.863723883191159,0.005927221001968075
sub-03,meta_spatial,meta_L_PPA_PHG,retrieval,0.7192960263740821,0.7193527855812422,0.7193244059776621,0.718841185918418,-0.00048322005924417155
sub-04,meta_spatial,meta_L_PPA_PHG,pre,0.9372887917422449,0.954449493150334,0.9458691424462895,0.9419369158457519,-0.003932226600537603
sub-04,meta_spatial,meta_L_PPA_PHG,run3,0.8851865812162559,0.8367956039767067,0.8609910925964813,0.8615747940687781,0.0005837014722968048
sub-04,meta_spatial,meta_L_PPA_PHG,run4,0.9124601560120271,0.8982709006789203,0.9053655283454738,0.9020104624820974,-0.0033550658633764163
sub-04,meta_spatial,meta_L_PPA_PHG,post,0.9085070624689956,0.9388636008472946,0.923685331658145,0.9223105517044875,-0.0013747799536575345
sub-04,meta_spatial,meta_L_PPA_PHG,retrieval,0.8719643471253273,0.8668167048233428,0.8693905259743351,0.8734149368475846,0.004024410873249562
sub-05,meta_spatial,meta_L_PPA_PHG,pre,0.9249461443254244,0.9404578762750441,0.9327020103002343,0.9244746452352562,-0.00822736506497801
sub-05,meta_spatial,meta_L_PPA_PHG,run3,0.6264084220287036,0.6103055597333288,0.6183569908810163,0.6278518247425762,0.009494833861559915
sub-05,meta_spatial,meta_L_PPA_PHG,run4,0.7131843570383647,0.5495313932107713,0.631357875124568,0.6354814584884524,0.004123583363884409
sub-05,meta_spatial,meta_L_PPA_PHG,post,0.793333549793242,0.8011395853900337,0.7972365675916379,0.7925255904431291,-0.004710977148508766
sub-05,meta_spatial,meta_L_PPA_PHG,retrieval,0.7318269649957088,0.6917138924540541,0.7117704287248814,0.7124714978118377,0.0007010690869563296
sub-06,meta_spatial,meta_L_PPA_PHG,pre,0.8264726065119171,0.8491192699265039,0.8377959382192105,0.8326555856405227,-0.005140352578687835
sub-06,meta_spatial,meta_L_PPA_PHG,run3,0.6618628734868657,0.5675725271496277,0.6147177003182467,0.627306015551045,0.012588315232798353
sub-06,meta_spatial,meta_L_PPA_PHG,run4,0.7874375768620876,0.7681418742608939,0.7777897255614907,0.7816316211844665,0.003841895622975766
sub-06,meta_spatial,meta_L_PPA_PHG,post,0.8453822679941669,0.8375097898401764,0.8414460289171717,0.841196651912525,-0.000249377004646667
sub-06,meta_spatial,meta_L_PPA_PHG,retrieval,0.7233537374693061,0.672565422967016,0.6979595802181611,0.6996355749522967,0.0016759947341355996
sub-07,meta_spatial,meta_L_PPA_PHG,pre,0.7591317196563103,0.7995607107868038,0.7793462152215571,0.7778488634117158,-0.0014973518098413408
sub-07,meta_spatial,meta_L_PPA_PHG,run3,0.1951073028158036,0.2989968103297013,0.24705205657275248,0.2567399464949248,0.009687889922172344
sub-07,meta_spatial,meta_L_PPA_PHG,run4,0.7009316655116264,0.7332383710534236,0.717085018282525,0.7088892886500038,-0.008195729632521243
sub-07,meta_spatial,meta_L_PPA_PHG,post,0.7408007159833271,0.7524051556341107,0.746602935808719,0.742620532516795,-0.003982403291923897
sub-07,meta_spatial,meta_L_PPA_PHG,retrieval,0.33256537186273455,0.44888559537264716,0.3907254836176909,0.3944270740559573,0.0037015904382664
sub-08,meta_spatial,meta_L_PPA_PHG,pre,0.9428542858646565,0.9242646330620894,0.9335594594633729,0.9376899752689942,0.004130515805621293
sub-08,meta_spatial,meta_L_PPA_PHG,run3,0.4498906697872157,0.5008920241794381,0.4753913469833269,0.4695468007134701,-0.00584454626985681
sub-08,meta_spatial,meta_L_PPA_PHG,run4,0.7381017753558782,0.7699943867146701,0.7540480810352741,0.7666655156228913,0.012617434587617216
sub-08,meta_spatial,meta_L_PPA_PHG,post,0.9173232944414247,0.8435180906216411,0.8804206925315329,0.8813618998787889,0.0009412073472560012
sub-08,meta_spatial,meta_L_PPA_PHG,retrieval,0.8712229608497662,0.864891730865305,0.8680573458575356,0.8643012742085947,-0.003756071648940873
sub-09,meta_spatial,meta_L_PPA_PHG,pre,0.8242818602526929,0.8367345404714014,0.8305082003620472,0.8284184974946222,-0.0020897028674250473
sub-09,meta_spatial,meta_L_PPA_PHG,run3,0.3533467367378356,0.31411577626547865,0.33373125650165714,0.34092444372048675,0.007193187218829611
sub-09,meta_spatial,meta_L_PPA_PHG,run4,0.7286613977186809,0.7493108636353508,0.7389861306770158,0.7629461649781386,0.023960034301122812
sub-09,meta_spatial,meta_L_PPA_PHG,post,0.9206510633101728,0.9348234724893844,0.9277372678997786,0.9236456289381177,-0.004091638961660871
sub-09,meta_spatial,meta_L_PPA_PHG,retrieval,0.6887136338432901,0.5565647696691532,0.6226392017562217,0.6379757347576783,0.015336533001456654
sub-10,meta_spatial,meta_L_PPA_PHG,pre,0.9044244662271205,0.8344011793476261,0.8694128227873733,0.8703823846217502,0.0009695618343769086
sub-10,meta_spatial,meta_L_PPA_PHG,run3,0.7197174545056135,0.8218905719546156,0.7708040132301146,0.7715729033602173,0.0007688901301027284
sub-10,meta_spatial,meta_L_PPA_PHG,run4,0.8473815068392029,0.8757665683563882,0.8615740375977956,0.8534054964513073,-0.00816854114648835
sub-10,meta_spatial,meta_L_PPA_PHG,post,0.893293266456491,0.885203340116343,0.889248303286417,0.8847618134421282,-0.004486489844288788
sub-10,meta_spatial,meta_L_PPA_PHG,retrieval,0.8354044557305772,0.7617365827401171,0.7985705192353472,0.8088302529979261,0.010259733762578938
sub-11,meta_spatial,meta_L_PPA_PHG,pre,0.8509341185514395,0.8900837577757045,0.870508938163572,0.8792623278802973,0.008753389716725346
sub-11,meta_spatial,meta_L_PPA_PHG,run3,0.7310645614162248,0.7722166905008992,0.751640625958562,0.7594957754648888,0.00785514950632682
sub-11,meta_spatial,meta_L_PPA_PHG,run4,0.6273135851124502,0.6782337199633407,0.6527736525378954,0.656986630813866,0.004212978275970558
sub-11,meta_spatial,meta_L_PPA_PHG,post,0.8497844198624874,0.8188446497877552,0.8343145348251213,0.8278115064488306,-0.006503028376290687
sub-11,meta_spatial,meta_L_PPA_PHG,retrieval,0.7151577773889443,0.6904810111298016,0.702819394259373,0.7030256108372652,0.00020621657789221537
sub-12,meta_spatial,meta_L_PPA_PHG,pre,0.7932003476814111,0.7685508528299326,0.7808756002556718,0.775127804728829,-0.005747795526842792
sub-12,meta_spatial,meta_L_PPA_PHG,run3,0.8291121595988554,0.78006564642683,0.8045889030128427,0.8366109812733894,0.032022078260546705
sub-12,meta_spatial,meta_L_PPA_PHG,run4,0.7587769245001688,0.7628659720504564,0.7608214482753126,0.815372625208489,0.05455117693317635
sub-12,meta_spatial,meta_L_PPA_PHG,post,0.8915694525662913,0.9172581860092335,0.9044138192877624,0.9049289635420021,0.0005151442542397078
sub-13,meta_spatial,meta_L_PPA_PHG,pre,0.9371575514833204,0.9483438307234895,0.9427506911034049,0.945381764170003,0.002631073066598044
sub-13,meta_spatial,meta_L_PPA_PHG,run3,0.6889698885924026,0.7958606986646852,0.742415293628544,0.7569291067152798,0.014513813086735827
sub-13,meta_spatial,meta_L_PPA_PHG,run4,0.7655438149680367,0.7919411861233255,0.7787425005456812,0.7777543283561208,-0.0009881721895603768
sub-13,meta_spatial,meta_L_PPA_PHG,post,0.8487034671930795,0.8850207553280285,0.866862111260554,0.8651599092078809,-0.0017022020526731296
sub-13,meta_spatial,meta_L_PPA_PHG,retrieval,0.8759567093567273,0.8811613675452411,0.8785590384509843,0.8756890855126067,-0.0028699529383775513
sub-14,meta_spatial,meta_L_PPA_PHG,pre,0.9332187356255229,0.9319218954227798,0.9325703155241514,0.9304743855156814,-0.0020959300084699706
sub-14,meta_spatial,meta_L_PPA_PHG,run3,0.6573668264036345,0.8494031089556506,0.7533849676796426,0.7715690301768926,0.01818406249725002
sub-14,meta_spatial,meta_L_PPA_PHG,run4,0.7264488788362969,0.8440242939270577,0.7852365863816773,0.7859034675540979,0.0006668811724206414
sub-14,meta_spatial,meta_L_PPA_PHG,post,0.9319060246944646,0.9355173488685055,0.933711686781485,0.9296346069432433,-0.004077079838241682
sub-14,meta_spatial,meta_L_PPA_PHG,retrieval,0.8036092177007863,0.7974301073307691,0.8005196625157778,0.7958042135083928,-0.004715449007384964
sub-15,meta_spatial,meta_L_PPA_PHG,pre,0.7653534911412821,0.8326097175630358,0.7989816043521589,0.7983280492040117,-0.0006535551481472446
sub-15,meta_spatial,meta_L_PPA_PHG,run3,0.5231930313158755,0.6262676265322481,0.5747303289240617,0.5787445701105527,0.004014241186490963
sub-15,meta_spatial,meta_L_PPA_PHG,run4,0.2856624935340674,0.31620434983750334,0.3009334216857854,0.29930156181915624,-0.0016318598666291706
sub-15,meta_spatial,meta_L_PPA_PHG,post,0.8542240087072979,0.8654059715130032,0.8598149901101506,0.8549364355939079,-0.00487855451624275
sub-15,meta_spatial,meta_L_PPA_PHG,retrieval,0.31320262920857744,0.32382793318674324,0.31851528119766037,0.3215100881229452,0.0029948069252848097
sub-16,meta_spatial,meta_L_PPA_PHG,pre,0.9110314330197778,0.8892308884350685,0.9001311607274232,0.8990660253066027,-0.0010651354208204289
sub-16,meta_spatial,meta_L_PPA_PHG,run3,0.8814558110334055,0.8066212195651159,0.8440385152992607,0.8509941261383274,0.006955610839066706
sub-16,meta_spatial,meta_L_PPA_PHG,run4,0.8881488909687096,0.9019069958140182,0.8950279433913639,0.9357315773962824,0.0407036340049185
sub-16,meta_spatial,meta_L_PPA_PHG,post,0.9650639719381501,0.9857728290955167,0.9754184005168334,0.9701802736815367,-0.005238126835296675
sub-16,meta_spatial,meta_L_PPA_PHG,retrieval,0.9182768103382525,0.9159336684810447,0.9171052394096486,0.9182220001438706,0.0011167607342219554
sub-17,meta_spatial,meta_L_PPA_PHG,pre,0.9200301569367683,0.9123808770659382,0.9162055170013532,0.9149929907548094,-0.001212526246543777
sub-17,meta_spatial,meta_L_PPA_PHG,run3,0.8171576977607878,0.7958381972061521,0.8064979474834699,0.8328622917970128,0.026364344313542842
sub-17,meta_spatial,meta_L_PPA_PHG,run4,0.6473751010223572,0.7219188656018665,0.6846469833121118,0.7015873472710563,0.016940363958944493
sub-17,meta_spatial,meta_L_PPA_PHG,post,0.7581335707730431,0.8319903299001854,0.7950619503366143,0.7968343381712969,0.0017723878346825872
sub-17,meta_spatial,meta_L_PPA_PHG,retrieval,0.8306238491905977,0.7915474953765197,0.8110856722835587,0.8075171696773155,-0.0035685026062431957
sub-18,meta_spatial,meta_L_PPA_PHG,pre,0.98213760995734,0.9947020852242872,0.9884198475908136,0.9821034907910999,-0.006316356799713652
sub-18,meta_spatial,meta_L_PPA_PHG,run3,0.9436602388226376,0.9032528982583913,0.9234565685405145,0.9086125936650727,-0.014843974875441757
sub-18,meta_spatial,meta_L_PPA_PHG,run4,0.862949666172888,0.8246672673868666,0.8438084667798773,0.8516576494591566,0.007849182679279254
sub-18,meta_spatial,meta_L_PPA_PHG,post,0.9969761214819639,0.9647298809236374,0.9808530012028007,0.9836872010416374,0.002834199838836704
sub-18,meta_spatial,meta_L_PPA_PHG,retrieval,0.9609300079666351,0.9353900173640834,0.9481600126653593,0.9484742897910873,0.0003142771257279575
sub-19,meta_spatial,meta_L_PPA_PHG,pre,0.8494262510150703,0.878502451349359,0.8639643511822146,0.8623018044496615,-0.0016625467325530607
sub-19,meta_spatial,meta_L_PPA_PHG,run3,0.7637540736594784,0.75639487494305,0.7600744743012642,0.7685740143615523,0.00849954006028808
sub-19,meta_spatial,meta_L_PPA_PHG,run4,0.8611937595664119,0.8294617862133093,0.8453277728898606,0.8428120976290543,-0.002515675260806316
sub-19,meta_spatial,meta_L_PPA_PHG,post,0.9358822790028987,0.9307315957603151,0.9333069373816069,0.9286235104203688,-0.004683426961238024
