subject	roi_set	roi	run	ok	fail_reason	n_yy_trials	n_kj_trials
sub-01	meta_spatial	meta_L_PPA_PHG	3	True		35	35
sub-01	meta_spatial	meta_L_PPA_PHG	4	True		35	35
sub-01	meta_spatial	meta_L_PPC_SPL	3	True		35	35
sub-01	meta_spatial	meta_L_PPC_SPL	4	True		35	35
sub-01	meta_spatial	meta_L_RSC_PCC	3	True		35	35
sub-01	meta_spatial	meta_L_RSC_PCC	4	True		35	35
sub-01	meta_spatial	meta_L_hippocampus	3	True		35	35
sub-01	meta_spatial	meta_L_hippocampus	4	True		35	35
sub-01	meta_spatial	meta_L_precuneus	3	True		35	35
sub-01	meta_spatial	meta_L_precuneus	4	True		35	35
sub-01	meta_spatial	meta_R_PPA_PHG	3	True		35	35
sub-01	meta_spatial	meta_R_PPA_PHG	4	True		35	35
sub-01	meta_spatial	meta_R_PPC_SPL	3	True		35	35
sub-01	meta_spatial	meta_R_PPC_SPL	4	True		35	35
sub-01	meta_spatial	meta_R_RSC_PCC	3	True		35	35
sub-01	meta_spatial	meta_R_RSC_PCC	4	True		35	35
sub-01	meta_spatial	meta_R_hippocampus	3	True		35	35
sub-01	meta_spatial	meta_R_hippocampus	4	True		35	35
sub-01	meta_spatial	meta_R_precuneus	3	True		35	35
sub-01	meta_spatial	meta_R_precuneus	4	True		35	35
sub-02	meta_spatial	meta_L_PPA_PHG	3	True		35	35
sub-02	meta_spatial	meta_L_PPA_PHG	4	True		35	35
sub-02	meta_spatial	meta_L_PPC_SPL	3	True		35	35
sub-02	meta_spatial	meta_L_PPC_SPL	4	True		35	35
sub-02	meta_spatial	meta_L_RSC_PCC	3	True		35	35
sub-02	meta_spatial	meta_L_RSC_PCC	4	True		35	35
sub-02	meta_spatial	meta_L_hippocampus	3	True		35	35
sub-02	meta_spatial	meta_L_hippocampus	4	True		35	35
sub-02	meta_spatial	meta_L_precuneus	3	True		35	35
sub-02	meta_spatial	meta_L_precuneus	4	True		35	35
sub-02	meta_spatial	meta_R_PPA_PHG	3	True		35	35
sub-02	meta_spatial	meta_R_PPA_PHG	4	True		35	35
sub-02	meta_spatial	meta_R_PPC_SPL	3	True		35	35
sub-02	meta_spatial	meta_R_PPC_SPL	4	True		35	35
sub-02	meta_spatial	meta_R_RSC_PCC	3	True		35	35
sub-02	meta_spatial	meta_R_RSC_PCC	4	True		35	35
sub-02	meta_spatial	meta_R_hippocampus	3	True		35	35
sub-02	meta_spatial	meta_R_hippocampus	4	True		35	35
sub-02	meta_spatial	meta_R_precuneus	3	True		35	35
sub-02	meta_spatial	meta_R_precuneus	4	True		35	35
sub-03	meta_spatial	meta_L_PPA_PHG	3	True		35	35
sub-03	meta_spatial	meta_L_PPA_PHG	4	True		35	35
sub-03	meta_spatial	meta_L_PPC_SPL	3	True		35	35
sub-03	meta_spatial	meta_L_PPC_SPL	4	True		35	35
sub-03	meta_spatial	meta_L_RSC_PCC	3	True		35	35
sub-03	meta_spatial	meta_L_RSC_PCC	4	True		35	35
sub-03	meta_spatial	meta_L_hippocampus	3	True		35	35
sub-03	meta_spatial	meta_L_hippocampus	4	True		35	35
sub-03	meta_spatial	meta_L_precuneus	3	True		35	35
sub-03	meta_spatial	meta_L_precuneus	4	True		35	35
sub-03	meta_spatial	meta_R_PPA_PHG	3	True		35	35
sub-03	meta_spatial	meta_R_PPA_PHG	4	True		35	35
sub-03	meta_spatial	meta_R_PPC_SPL	3	True		35	35
sub-03	meta_spatial	meta_R_PPC_SPL	4	True		35	35
sub-03	meta_spatial	meta_R_RSC_PCC	3	True		35	35
sub-03	meta_spatial	meta_R_RSC_PCC	4	True		35	35
sub-03	meta_spatial	meta_R_hippocampus	3	True		35	35
sub-03	meta_spatial	meta_R_hippocampus	4	True		35	35
sub-03	meta_spatial	meta_R_precuneus	3	True		35	35
sub-03	meta_spatial	meta_R_precuneus	4	True		35	35
sub-04	meta_spatial	meta_L_PPA_PHG	3	True		35	35
sub-04	meta_spatial	meta_L_PPA_PHG	4	True		35	35
sub-04	meta_spatial	meta_L_PPC_SPL	3	True		35	35
sub-04	meta_spatial	meta_L_PPC_SPL	4	True		35	35
sub-04	meta_spatial	meta_L_RSC_PCC	3	True		35	35
sub-04	meta_spatial	meta_L_RSC_PCC	4	True		35	35
sub-04	meta_spatial	meta_L_hippocampus	3	True		35	35
sub-04	meta_spatial	meta_L_hippocampus	4	True		35	35
sub-04	meta_spatial	meta_L_precuneus	3	True		35	35
sub-04	meta_spatial	meta_L_precuneus	4	True		35	35
sub-04	meta_spatial	meta_R_PPA_PHG	3	True		35	35
