analysis_type	roi_set	roi	phase	metric	n_subjects	mean_effect	t	p	cohens_dz	q_bh_within_roi_set
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	run3	between_minus_within	28	0.011874482055666236	4.352401474724751	0.00017325870829875396	0.8225265648594621	0.0034651741659750793
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	run3	between_minus_within	28	0.008193586718966767	3.6494961628738074	0.0011099240559569437	0.6896899469748978	0.011099240559569437
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	run3	between_minus_within	28	0.009094969738335975	3.170787409038925	0.0037648717808412427	0.5992224960408451	0.025099145205608284
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	run3	between_minus_within	28	0.012258223185836567	2.966061781168825	0.006243154580492606	0.5605329890161425	0.03121577290246303
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	run3	between_minus_within	28	-0.0014273352689992652	-1.1917347839631036	0.24373550246608075	-0.22521670479368985	0.4008711046600814
one_sample_gt_zero	meta_spatial	meta_L_precuneus	run3	between_minus_within	28	0.0031771527209226514	1.1773049451086148	0.24934802400223083	0.22248972157456737	0.4008711046600814
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	run3	between_minus_within	28	0.0033941668418974724	1.1010137844227355	0.280609773262057	0.20807204740261706	0.4008711046600814
one_sample_gt_zero	meta_spatial	meta_R_precuneus	run3	between_minus_within	28	0.0024492008527749426	0.9653500754111733	0.34293704151287074	0.18243401626110095	0.45724938868382764
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	run3	between_minus_within	28	0.0019284878482673676	0.8734664366552358	0.3901115879380177	0.1650696407108219	0.4876394849225221
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	run3	between_minus_within	28	-0.00013127225139689114	-0.0738234897730556	0.9416950541309735	-0.013951328203887517	0.9556959562992835
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	run4	between_minus_within	28	0.007162565066199104	2.408416936150727	0.02311884389734964	0.45514801902935353	0.09247537558939856
one_sample_gt_zero	meta_spatial	meta_R_precuneus	run4	between_minus_within	28	0.0052452274112661235	2.088210402612176	0.0463420552258496	0.3946346721778487	0.1544735174194987
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	run4	between_minus_within	28	0.007101982459622341	1.9919427226531943	0.05657989396918902	0.37644179071608996	0.16165683991196864
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	run4	between_minus_within	28	0.005210431632311046	1.7635942003999978	0.08911520819510944	0.3332879762781573	0.22045413158060584
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	run4	between_minus_within	28	0.00431066941735106	1.677674585844621	0.10495123730489116	0.3170506953598678	0.22045413158060584
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	run4	between_minus_within	28	0.005804713156126107	1.651473118259498	0.11022706579030293	0.3120990834159281	0.22045413158060584
one_sample_gt_zero	meta_spatial	meta_L_precuneus	run4	between_minus_within	28	0.002289237220460233	1.115328969023605	0.27453850321412576	0.21077736300446578	0.4008711046600814
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	run4	between_minus_within	28	0.0014458698547422655	0.6284007723178268	0.5350215514238044	0.1187565833738494	0.6294371193221228
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	run4	between_minus_within	28	0.0006927298516857269	0.47807889077537	0.6364422573719479	0.0903484180043743	0.7071580637466088
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	run4	between_minus_within	28	-9.438041984496144e-05	-0.0560737488157475	0.9556959562992835	-0.01059694246039789	0.9556959562992835
