subject,roi_set,roi,phase,within_yy,within_kj,within,between,between_minus_within
sub-01,meta_spatial,meta_L_PPA_PHG,run3,0.7849109228541908,0.7124034346099882,0.7486571787320895,0.7774710181216115,0.028813839389521978
sub-01,meta_spatial,meta_L_PPA_PHG,run4,0.6751093984829596,0.5052685757147107,0.5901889870988352,0.6013226862090396,0.011133699110204454
sub-02,meta_spatial,meta_L_PPA_PHG,run3,0.6247726959964118,0.8226639295433438,0.7237183127698779,0.7334196395419419,0.009701326772064034
sub-02,meta_spatial,meta_L_PPA_PHG,run4,0.8511796170421834,0.7694379226763974,0.8103087698592903,0.8213185870420436,0.01100981718275329
sub-03,meta_spatial,meta_L_PPA_PHG,run3,0.7605163137155019,0.585085389346176,0.672800851530839,0.7322009763551873,0.05940012482434831
sub-03,meta_spatial,meta_L_PPA_PHG,run4,0.6404744809145055,0.6127299365612117,0.6266022087378587,0.6189883582851724,-0.007613850452686255
sub-04,meta_spatial,meta_L_PPA_PHG,run3,0.8851865812162559,0.8367956039767067,0.8609910925964813,0.8615747940687781,0.0005837014722968048
sub-04,meta_spatial,meta_L_PPA_PHG,run4,0.9124601560120271,0.8982709006789203,0.9053655283454738,0.9020104624820974,-0.0033550658633764163
sub-05,meta_spatial,meta_L_PPA_PHG,run3,0.6264084220287036,0.6103055597333288,0.6183569908810163,0.6278518247425762,0.009494833861559915
sub-05,meta_spatial,meta_L_PPA_PHG,run4,0.7131843570383647,0.5495313932107713,0.631357875124568,0.6354814584884524,0.004123583363884409
sub-06,meta_spatial,meta_L_PPA_PHG,run3,0.6618628734868657,0.5675725271496277,0.6147177003182467,0.627306015551045,0.012588315232798353
sub-06,meta_spatial,meta_L_PPA_PHG,run4,0.7874375768620876,0.7681418742608939,0.7777897255614907,0.7816316211844665,0.003841895622975766
sub-07,meta_spatial,meta_L_PPA_PHG,run3,0.1951073028158036,0.2989968103297013,0.24705205657275248,0.2567399464949248,0.009687889922172344
sub-07,meta_spatial,meta_L_PPA_PHG,run4,0.7009316655116264,0.7332383710534236,0.717085018282525,0.7088892886500038,-0.008195729632521243
sub-08,meta_spatial,meta_L_PPA_PHG,run3,0.4498906697872157,0.5008920241794381,0.4753913469833269,0.4695468007134701,-0.00584454626985681
sub-08,meta_spatial,meta_L_PPA_PHG,run4,0.7381017753558782,0.7699943867146701,0.7540480810352741,0.7666655156228913,0.012617434587617216
sub-09,meta_spatial,meta_L_PPA_PHG,run3,0.3533467367378356,0.31411577626547865,0.33373125650165714,0.34092444372048675,0.007193187218829611
sub-09,meta_spatial,meta_L_PPA_PHG,run4,0.7286613977186809,0.7493108636353508,0.7389861306770158,0.7629461649781386,0.023960034301122812
sub-10,meta_spatial,meta_L_PPA_PHG,run3,0.7197174545056135,0.8218905719546156,0.7708040132301146,0.7715729033602173,0.0007688901301027284
sub-10,meta_spatial,meta_L_PPA_PHG,run4,0.8473815068392029,0.8757665683563882,0.8615740375977956,0.8534054964513073,-0.00816854114648835
sub-11,meta_spatial,meta_L_PPA_PHG,run3,0.7310645614162248,0.7722166905008992,0.751640625958562,0.7594957754648888,0.00785514950632682
sub-11,meta_spatial,meta_L_PPA_PHG,run4,0.6273135851124502,0.6782337199633407,0.6527736525378954,0.656986630813866,0.004212978275970558
sub-12,meta_spatial,meta_L_PPA_PHG,run3,0.8291121595988554,0.78006564642683,0.8045889030128427,0.8366109812733894,0.032022078260546705
sub-12,meta_spatial,meta_L_PPA_PHG,run4,0.7587769245001688,0.7628659720504564,0.7608214482753126,0.815372625208489,0.05455117693317635
