analysis_type	roi_set	roi	phase	metric	n_subjects	mean_effect	t	p	cohens_dz	q_bh_within_roi_set
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	pre	between_minus_within	28	-0.002316901524263698	-4.064040059435905	0.00037352259436708413	-0.7680313796765402	0.011205677831012523
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	pre	between_minus_within	28	-0.0021839590395332587	-3.1364749801484018	0.004101177772153803	-0.5927380564892085	0.05538882940856634
one_sample_gt_zero	meta_spatial	meta_R_precuneus	pre	between_minus_within	28	-0.002625349066141306	-3.014941360567683	0.005538882940856634	-0.5697703612503434	0.05538882940856634
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	pre	between_minus_within	28	-0.0021535960196520454	-2.6922343967622253	0.012039518803838838	-0.5087844774947745	0.08876533961268568
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	pre	between_minus_within	28	-0.001723057709747051	-2.524944355640964	0.017753067922537134	-0.4771696313787299	0.08876533961268568
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	pre	between_minus_within	28	-0.0017844421035626556	-2.4178433237796257	0.022634859522878952	-0.4569294388456222	0.09700654081233837
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	pre	between_minus_within	28	-0.001314113659985199	-1.5795107723846273	0.1258644401367646	-0.29849947834837653	0.2697095145787813
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	pre	between_minus_within	28	-0.0008707869753158325	-1.3465032136400934	0.18933593628038922	-0.2544651887743544	0.3546401213824514
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	pre	between_minus_within	28	-0.0013876877562857865	-1.08977712962642	0.2854424310039393	-0.20594851924837912	0.45069857526937784
one_sample_gt_zero	meta_spatial	meta_L_precuneus	pre	between_minus_within	28	0.00018397049709768996	0.1651833390960809	0.8700302415841321	0.031216716855677343	0.8723233679295413
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	post	between_minus_within	28	-0.0020040565654170783	-2.3466047586240912	0.026534657173944997	-0.44346661547714983	0.09909395593683158
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	post	between_minus_within	28	-0.0014999738031820007	-2.2950645179173432	0.029728186781049475	-0.4337264255184024	0.09909395593683158
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	post	between_minus_within	28	-0.001409925882120954	-1.9300607284091973	0.06416668586068738	-0.36474719304449366	0.1750000523473292
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	post	between_minus_within	28	-0.0019766129897324314	-1.804157760306139	0.08237469419628063	-0.3409537685498088	0.190095448145263
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	post	between_minus_within	28	-0.0017060687304887776	-0.9943127246809541	0.32889870312329206	-0.1879074424952028	0.48047671430076283
one_sample_gt_zero	meta_spatial	meta_L_precuneus	post	between_minus_within	28	-0.0010933143769586904	-0.962802360823466	0.34419102371168164	-0.1819525434603406	0.48047671430076283
one_sample_gt_zero	meta_spatial	meta_R_precuneus	post	between_minus_within	28	-0.0012163351272433834	-0.9463771960527134	0.352349590487226	-0.17884847908700696	0.48047671430076283
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	post	between_minus_within	28	-0.0007874396949347416	-0.6982197883474124	0.49101004254599623	-0.13195113717367193	0.6137625531824953
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	post	between_minus_within	28	0.0007282209825126959	0.6370554953177038	0.5294537925885856	0.12039217228269407	0.6353445511063027
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	post	between_minus_within	28	-0.00020578819230237283	-0.16224202832519896	0.8723233679295413	-0.030660861367940967	0.8723233679295413
one_sample_gt_zero	meta_spatial	meta_L_PPA_PHG	retrieval	between_minus_within	26	0.002923942329310002	2.544349909240804	0.017503565383250284	0.49898807063949574	0.08876533961268568
one_sample_gt_zero	meta_spatial	meta_L_hippocampus	retrieval	between_minus_within	26	-0.001508635251958853	-2.161859579696414	0.04040053921613321	-0.4239755454815197	0.12120161764839962
one_sample_gt_zero	meta_spatial	meta_R_hippocampus	retrieval	between_minus_within	26	-0.0013601927005760794	-1.8270331325406148	0.07965789951148734	-0.35831067672327493	0.190095448145263
one_sample_gt_zero	meta_spatial	meta_L_precuneus	retrieval	between_minus_within	26	0.0016984470641478648	1.3843545112083122	0.1784834953862154	0.271494256399284	0.3546401213824514
one_sample_gt_zero	meta_spatial	meta_R_RSC_PCC	retrieval	between_minus_within	26	0.00170897986236188	1.3134380328310564	0.20096273545005577	0.25758639074232603	0.3546401213824514
one_sample_gt_zero	meta_spatial	meta_R_PPA_PHG	retrieval	between_minus_within	26	0.0014776055425128887	1.2701752370514545	0.21571708838935116	0.24910185843875796	0.3595284806489186
one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	retrieval	between_minus_within	26	0.0012062498739799153	0.7493468796233869	0.4606416470679531	0.14695901390959668	0.6008369309581997
one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	retrieval	between_minus_within	26	-0.00048745478859859497	-0.5116387406944903	0.6133937043754529	-0.10034061241197097	0.7077619665870611
one_sample_gt_zero	meta_spatial	meta_R_precuneus	retrieval	between_minus_within	26	-0.0004028179759307035	-0.44307824186392636	0.6615196211706992	-0.08689479235817477	0.7350218013007769
one_sample_gt_zero	meta_spatial	meta_R_PPC_SPL	retrieval	between_minus_within	26	0.0001817186018178707	0.20359138146604774	0.840320951942397	0.039927554880565	0.8723233679295413
