analysis_type	module	roi_set	roi	metric	phase_a	phase_b	n	mean_a	mean_b	mean_diff	t	p	cohens_dz	q_bh_within_roi_set
paired_t	word_level	meta_spatial	meta_L_PPA_PHG	between_minus_within	post	pre	28.0	-0.001409925882120954	-0.001314113659985199	-9.581222213575491e-05	-0.0870263033385179	0.9312928208673275	-0.016446425439642032	0.9634063664144767
paired_t	word_level	meta_spatial	meta_L_PPA_PHG	between_minus_within	retrieval	pre	26.0	0.002923942329310002	-0.001120903860537763	0.0040448461898477655	2.4214151829915895	0.023048648456290392	0.4748785872532292	0.13829189073774234
paired_t	word_level	meta_spatial	meta_L_PPA_PHG	between_minus_within	retrieval	post	26.0	0.002923942329310002	-0.0013821043817511046	0.004306046711061107	2.8866420820943106	0.007914789164271172	0.5661170886675767	0.12037106889525712
paired_t	word_level	meta_spatial	meta_L_PPC_SPL	between_minus_within	post	pre	28.0	-0.0019766129897324314	-0.0021535960196520454	0.000176983029919614	0.1247047695433964	0.9016811196465798	0.023566986251103473	0.9634063664144767
paired_t	word_level	meta_spatial	meta_L_PPC_SPL	between_minus_within	retrieval	pre	26.0	-0.00048745478859859497	-0.0020395412452769946	0.0015520864566783998	1.434571461377715	0.1638012636025168	0.28134261058493404	0.42081723277621624
paired_t	word_level	meta_spatial	meta_L_PPC_SPL	between_minus_within	retrieval	post	26.0	-0.00048745478859859497	-0.002531775509893022	0.002044320721294427	1.3894675389337563	0.1769425664148947	0.2724970036356525	0.42081723277621624
paired_t	word_level	meta_spatial	meta_L_RSC_PCC	between_minus_within	post	pre	28.0	-0.00020578819230237283	-0.0013876877562857865	0.0011818995639834137	0.5882067894853822	0.5612819367589552	0.11116063460414598	0.765384459216757
paired_t	word_level	meta_spatial	meta_L_RSC_PCC	between_minus_within	retrieval	pre	26.0	0.0012062498739799153	-0.0010556515259340605	0.002261901399913976	1.0689029025923265	0.29532618351369544	0.20962910609439386	0.5816939117917413
paired_t	word_level	meta_spatial	meta_L_RSC_PCC	between_minus_within	retrieval	post	26.0	0.0012062498739799153	-0.0003845328925224122	0.0015907827665023275	0.7774286033136434	0.4442009376862106	0.15246629302774817	0.6663014065293159
paired_t	word_level	meta_spatial	meta_L_hippocampus	between_minus_within	post	pre	28.0	-0.0014999738031820007	-0.0008707869753158325	-0.0006291868278661682	-0.6994041889537221	0.49028153803460284	-0.1321749678491698	0.7004021971922898
paired_t	word_level	meta_spatial	meta_L_hippocampus	between_minus_within	retrieval	pre	26.0	-0.001508635251958853	-0.0006064635977037086	-0.0009021716542551444	-1.035744318273451	0.3102367529555954	-0.20312617269112243	0.5816939117917413
paired_t	word_level	meta_spatial	meta_L_hippocampus	between_minus_within	retrieval	post	26.0	-0.001508635251958853	-0.001736805084580466	0.000228169832621613	0.21088893224385605	0.8346834905951283	0.04135872233508341	0.963096335302071
paired_t	word_level	meta_spatial	meta_L_precuneus	between_minus_within	post	pre	28.0	-0.0010933143769586904	0.00018397049709768996	-0.0012772848740563803	-0.8039806106998916	0.4284304013296236	-0.1519380539164106	0.6663014065293159
paired_t	word_level	meta_spatial	meta_L_precuneus	between_minus_within	retrieval	pre	26.0	0.0016984470641478648	-2.1336829474681253e-05	0.001719783893622546	0.9373155098934118	0.3575637819679165	0.18382269520537223	0.6226196606346686
paired_t	word_level	meta_spatial	meta_L_precuneus	between_minus_within	retrieval	post	26.0	0.0016984470641478648	-0.0010157825486056473	0.0027142296127535123	1.9118389568778098	0.06742352535502516	0.37494246722949337	0.2528382200813444
paired_t	word_level	meta_spatial	meta_R_PPA_PHG	between_minus_within	post	pre	28.0	-0.0020040565654170783	-0.001723057709747051	-0.0002809988556700274	-0.24585934356074457	0.8076505053890267	-0.04646304861166568	0.963096335302071
paired_t	word_level	meta_spatial	meta_R_PPA_PHG	between_minus_within	retrieval	pre	26.0	0.0014776055425128887	-0.0017803516118899709	0.0032579571544028595	2.2325634149708584	0.034770965156449986	0.4378417083949905	0.17385482578224995
paired_t	word_level	meta_spatial	meta_R_PPA_PHG	between_minus_within	retrieval	post	26.0	0.0014776055425128887	-0.002156299977619962	0.0036339055201328506	2.7532873689077264	0.010830800781945206	0.5399640777149628	0.12037106889525712
paired_t	word_level	meta_spatial	meta_R_PPC_SPL	between_minus_within	post	pre	28.0	0.0007282209825126959	-0.002316901524263698	0.0030451225067763942	2.6923195704666636	0.012037106889525712	0.5088005738119308	0.12037106889525712
paired_t	word_level	meta_spatial	meta_R_PPC_SPL	between_minus_within	retrieval	pre	26.0	0.0001817186018178707	-0.0024236291322468416	0.0026053477340647123	2.4244269132194822	0.02289534253255182	0.4754692361456023	0.13829189073774234
paired_t	word_level	meta_spatial	meta_R_PPC_SPL	between_minus_within	retrieval	post	26.0	0.0001817186018178707	0.0006269241609452986	-0.0004452055591274279	-0.337193065334723	0.7387859672629277	-0.06612900076884305	0.9234824590786596
paired_t	word_level	meta_spatial	meta_R_RSC_PCC	between_minus_within	post	pre	28.0	-0.0017060687304887776	-0.0017844421035626556	7.837337307387807e-05	0.043114759374837226	0.965927328370763	0.008147923653014996	0.965927328370763
paired_t	word_level	meta_spatial	meta_R_RSC_PCC	between_minus_within	retrieval	pre	26.0	0.00170897986236188	-0.0014420206287188088	0.003151000491080689	1.986942499965638	0.05799160089761243	0.3896714838350623	0.248535432418339
paired_t	word_level	meta_spatial	meta_R_RSC_PCC	between_minus_within	retrieval	post	26.0	0.00170897986236188	-0.0014703739411137757	0.003179353803475656	1.3716630392729732	0.18235413420302704	0.2690052539741107	0.42081723277621624
paired_t	word_level	meta_spatial	meta_R_hippocampus	between_minus_within	post	pre	28.0	-0.0007874396949347416	-0.0021839590395332587	0.001396519344598517	1.2729721339556161	0.21388008771568914	0.24056912088298285	0.45831447367647676
paired_t	word_level	meta_spatial	meta_R_hippocampus	between_minus_within	retrieval	pre	26.0	-0.0013601927005760794	-0.00255208002059956	0.0011918873200234804	1.6462702031602043	0.11222349628103016	0.3228601496369323	0.3740783209367672
paired_t	word_level	meta_spatial	meta_R_hippocampus	between_minus_within	retrieval	post	26.0	-0.0013601927005760794	-0.0014917676867259738	0.00013157498614989435	0.0912388960635005	0.9280299065579355	0.01789341967024819	0.9634063664144767
