subject	roi_set	roi	condition	condition_label	key_column	key_value	word_label	pair_id	reliability
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_28	yy_28	28	0.06410015657286086
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_36	yy_36	36	0.24255036909040487
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_33	yy_33	33	-0.0816719684112632
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_23	yy_23	23	0.3452733884308693
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_8	yy_8	8	0.6918469273835113
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_11	yy_11	11	-0.1339729333596018
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_1	yy_1	1	0.15771682101053908
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_14	yy_14	14	-0.32449683111952976
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_3	yy_3	3	0.4659793632803062
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_38	yy_38	38	0.24234883991341408
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_5	yy_5	5	0.08067162853407273
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_35	yy_35	35	0.07544805529401857
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_15	yy_15	15	0.19764406000911014
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_13	yy_13	13	0.11929599181283586
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_9	yy_9	9	-0.44836899881785547
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_27	yy_27	27	0.4512633243296701
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_32	yy_32	32	0.060822622721336844
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_29	yy_29	29	0.20153740041307017
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_24	yy_24	24	-0.2415932591125899
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_39	yy_39	39	0.21251565000480546
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_4	yy_4	4	0.4389605662001041
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_6	yy_6	6	0.48017324102982173
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_10	yy_10	10	-0.5084700291745945
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_26	yy_26	26	0.5774273036595471
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_7	yy_7	7	0.021678204189738853
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_16	yy_16	16	-0.03840453349035852
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_37	yy_37	37	0.2512372700766505
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_21	yy_21	21	0.09864858269273649
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_18	yy_18	18	0.6502382470404063
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_19	yy_19	19	0.2718305821309767
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_17	yy_17	17	0.23101798529162462
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_40	yy_40	40	-0.31694051520069966
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_22	yy_22	22	-0.4283008744244461
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_2	yy_2	2	0.40291376562453207
sub-01	meta_metaphor	meta_L_AG	yy	YY	word_label	yy_12	yy_12	12	0.17883972662375827
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_37	kj_37	37	0.0041168664971113645
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_12	kj_12	12	-0.08703134465311567
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_9	kj_9	9	0.4682854117529754
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_36	kj_36	36	-0.07542362909474165
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_38	kj_38	38	-0.22680126868465894
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_1	kj_1	1	0.19537909027819966
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_29	kj_29	29	0.23812271205532878
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_26	kj_26	26	0.178233250560005
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_16	kj_16	16	-0.3101740634924943
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_19	kj_19	19	-0.5949268554217657
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_20	kj_20	20	0.3895983840395862
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_7	kj_7	7	-0.21959451362385088
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_30	kj_30	30	-0.36180408708593464
sub-01	meta_metaphor	meta_L_AG	kj	KJ	word_label	kj_24	kj_24	24	-0.14535683927500007
