subject	roi_set	roi	condition	ok	fail_reason	key_column	n_run3_rows	n_run4_rows	n_paired_items	n_skipped_duplicates	n_unpaired
sub-01	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-01	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-02	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-03	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-04	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-05	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-06	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-07	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-08	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-09	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-10	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-11	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_IFG	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_L_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_AG	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_AG	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_IFG	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_IFG	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_pMTG_pSTS	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_pMTG_pSTS	kj	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_temporal_pole	yy	True		word_label	35	35	35	0	0
sub-12	meta_metaphor	meta_R_temporal_pole	kj	True		word_label	35	35	35	0	0
sub-13	meta_metaphor	meta_L_AG	yy	True		word_label	35	35	35	0	0
sub-13	meta_metaphor	meta_L_AG	kj	True		word_label	35	35	35	0	0
sub-13	meta_metaphor	meta_L_IFG	yy	True		word_label	35	35	35	0	0
