roi_set	roi	variant	response	status	model	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_se	condition_p	interaction_beta	interaction_se	interaction_p	converged	loglik	q_bh_within_family
meta_spatial	meta_L_precuneus	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.45881152993869156	0.1750270748558931	0.008757597186186253	0.5359065560039479	0.1823435023140603	0.003292788846736042	-0.3504496435412494	0.19396045019279687	0.07079193911204523	True		0.08757597186186253
meta_spatial	meta_L_precuneus	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.4315985473635803	0.1652625131160159	0.009012127310872415	0.5564131538490125	0.1797096449637713	0.0019603225972226216	-0.3938926928931593	0.16828973775583406	0.019254702001553593	True		0.09012127310872414
meta_metaphor	meta_R_pMTG_pSTS	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.06423277800748799	0.02850704009341389	0.024244960135590445	-0.06500694089325267	0.031975744468082885	0.04205172556129206	0.06453177818549853	0.03010872825468219	0.03208970735431117	True	-26.21097594969865	0.19395968108472356
meta_spatial	meta_L_PPC_SPL	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.30466911100244637	0.1486133859968502	0.04035676874485566	0.5764589980391122	0.1660847402436214	0.0005187697872800946	-0.34436028495363646	0.17367098044149534	0.047386257853469324	True		0.2017838437242783
meta_metaphor	meta_R_temporal_pole	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.0645936923427517	0.034448128572910464	0.060778941788353136	-0.0717934773690889	0.03132932209131149	0.021930205090033007	0.05597850439832818	0.035525870930875475	0.11509242909520322	True	inf	0.24311576715341254
meta_spatial	meta_R_precuneus	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.3339465421981581	0.17928924757750836	0.06251668775534015	0.5505136990977052	0.18428989384425942	0.0028153083543728534	-0.35062416496841053	0.21174044050068655	0.09773903977539954	True		0.31258343877670075
meta_metaphor	meta_R_pMTG_pSTS	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.05627143883733294	0.0308403436467814	0.06806068961009981	-0.07434116372448994	0.031424150613786755	0.017994395374950428	0.049705758986943946	0.03214373530992163	0.12201785569977416	True	inf	0.32459147379259246
meta_metaphor	meta_L_IFG	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04945046174340203	0.02835357626593438	0.08114786844814811	-0.06207071751818468	0.03217822041636557	0.0537349891469321	0.06380720314711563	0.03020922530628159	0.03467134921113883	True	-26.26768329148581	0.32459147379259246
meta_spatial	meta_L_RSC_PCC	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.0637921232778753	0.029873057708532116	0.032725083754001044	-0.07071005049153653	0.031312109414720624	0.023931113586509848	0.06705737462917816	0.031259176942624596	0.03193637832330956	True	inf	0.32725083754001044
meta_spatial	meta_L_precuneus	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.4473735008354442	0.21104008962210966	0.03401863044395848	0.6064017279599232	0.17683383227974694	0.0006053235238065603	-0.4598801345053886	0.21947851922001604	0.036141582877797646	True		0.3401863044395848
meta_metaphor	meta_R_IFG	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.2863523464214113	0.1419055664888943	0.04360086680502051	0.6202637348744996	0.1738647401950622	0.00036039330240656027	-0.17888755894138922	0.17202389871660687	0.29838661457717397	True		0.3488069344401641
meta_spatial	meta_L_PPA_PHG	run4_to_retrieval	memory	ok	gee_binomial	884	26	-0.32657368522437413	0.18186560361348164	0.07254432361780166	0.6042480871702849	0.17331842938375155	0.0004896664416675133	0.33666245309424	0.16222154303891667	0.037956407243617644	True		0.3627216180890083
meta_spatial	meta_L_PPC_SPL	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.2399068771583328	0.15431909022167564	0.1200376274741562	0.5611120888948503	0.16764473566116206	0.0008168214281481462	-0.33384829694182855	0.1377230277500511	0.015348249214833581	True		0.40012542491385394
meta_spatial	meta_R_RSC_PCC	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.25973804876413914	0.1854575199193935	0.1613559112105103	0.5649611285530256	0.16906030448153067	0.0008324516695309605	-0.296163190185615	0.20719843896537618	0.15289797521711831	True		0.40338977802627574
meta_metaphor	meta_L_pMTG_pSTS	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.050389128135599655	0.03192407760412026	0.11447256545674922	-0.05681189804846729	0.032817574961344555	0.0834263557029073	0.04767162059521006	0.033401163392799894	0.15350948488286212	True	-27.32394897960171	0.4129223376896362
meta_metaphor	meta_L_IFG	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04178381856870036	0.028776918272266357	0.14650418281554106	-0.06907565670535346	0.031394223056794304	0.02778799392110518	0.03685941121194895	0.03049056983172205	0.22670931440479647	True	inf	0.4129223376896362
meta_metaphor	meta_L_temporal_pole	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04733704164106239	0.03327451331941385	0.15484587663361357	-0.06339484579854876	0.03218697488338932	0.04888644081891262	0.027206782296662943	0.034764014298294926	0.43385418928384867	True	-25.858673380184428	0.4129223376896362
meta_metaphor	meta_R_temporal_pole	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.04386825532683242	0.034878447900699286	0.20848335050437916	-0.07605969687503586	0.031700393573766916	0.016425116599011014	-0.03754488530926903	0.03648488251145232	0.30345467358594913	True	inf	0.4169667010087583
