subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	0.00651319717214705	30
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	0.014799067591649777	30
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	-0.07044510897725573	4
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.0315142206906088	4
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	-0.005584125908910723	30
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	-0.030874332199061667	30
sub-01	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	0.001567544433028329	4
sub-01	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	0.015046776508892402	4
sub-01	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	0.03370697705666427	30
sub-01	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	0.030911216324608075	30
sub-01	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	0.05008454488875172	4
sub-01	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	0.03691180284824384	4
sub-01	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	0.00143777119935062	30
sub-01	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	-0.06933896864760451	30
sub-01	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	0.04662013870748663	4
sub-01	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	-0.06092473852012899	4
sub-01	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	-0.005537307826985483	30
sub-01	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	-0.016955770477116543	30
sub-01	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	0.03744369036659505	4
sub-01	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	-0.0926752136248186	4
sub-01	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	-0.04767607071890426	30
sub-01	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	0.014021173396335873	30
sub-01	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	0.16846721808611903	4
sub-01	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	0.030191868426129934	4
sub-01	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	-0.009814022105494865	30
sub-01	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	-0.015116277543126532	30
sub-01	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	-0.03894112117936234	4
sub-01	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	0.09201980606979653	4
sub-01	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	-0.005848886498692483	30
sub-01	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	-0.009588322716144808	30
sub-01	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	0.009861301429248862	4
sub-01	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	-0.06149632790704272	4
sub-01	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	0.009153860651408751	30
sub-01	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	0.005634571558405697	30
sub-01	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	-0.018409889689049285	4
sub-01	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	0.025456277407966424	4
sub-01	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	0.008641119440561899	30
sub-01	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	-0.013721850472598416	30
sub-01	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	-0.06411226104648565	4
sub-01	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	-0.014379488478595215	4
sub-02	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	-0.007143091883810861	30
sub-02	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	-0.02696474834512476	30
sub-02	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	-0.043583843187439894	4
sub-02	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.10402389947635796	4
sub-02	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	0.03039917287346865	30
sub-02	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	0.018501376904868375	30
sub-02	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	-0.004053718149642633	4
sub-02	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	0.07336747983192247	4
sub-02	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	0.026105198844608195	30
sub-02	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	-0.041709364671477255	30
sub-02	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	-0.12998406258447456	4
sub-02	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	0.14049240512395772	4
