subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-01	meta_spatial	meta_L_PPA_PHG	yy	YY	0.01886249189074289	35
sub-01	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.10926066588151495	35
sub-01	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.011651957956210542	35
sub-01	meta_spatial	meta_L_PPC_SPL	kj	KJ	-0.027400446935491745	35
sub-01	meta_spatial	meta_L_RSC_PCC	yy	YY	-0.017761957715107232	35
sub-01	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.006223385962371476	35
sub-01	meta_spatial	meta_L_hippocampus	yy	YY	0.021824112666809555	35
sub-01	meta_spatial	meta_L_hippocampus	kj	KJ	0.017263051186152813	35
sub-01	meta_spatial	meta_L_precuneus	yy	YY	0.11700166063876967	35
sub-01	meta_spatial	meta_L_precuneus	kj	KJ	0.10839089534502658	35
sub-01	meta_spatial	meta_R_PPA_PHG	yy	YY	-0.04848092400835997	35
sub-01	meta_spatial	meta_R_PPA_PHG	kj	KJ	-0.04320600535111235	35
sub-01	meta_spatial	meta_R_PPC_SPL	yy	YY	0.21450635694078854	35
sub-01	meta_spatial	meta_R_PPC_SPL	kj	KJ	-0.03562832229096524	35
sub-01	meta_spatial	meta_R_RSC_PCC	yy	YY	0.13706652299616826	35
sub-01	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.10393941382813594	35
sub-01	meta_spatial	meta_R_hippocampus	yy	YY	-0.02669152476316274	35
sub-01	meta_spatial	meta_R_hippocampus	kj	KJ	0.027091038474821687	35
sub-01	meta_spatial	meta_R_precuneus	yy	YY	-0.013328109220764862	35
sub-01	meta_spatial	meta_R_precuneus	kj	KJ	-0.05851747809966721	35
sub-02	meta_spatial	meta_L_PPA_PHG	yy	YY	0.12980545021884118	35
sub-02	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.04100754035708677	35
sub-02	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.08099408765984803	35
sub-02	meta_spatial	meta_L_PPC_SPL	kj	KJ	-0.2431039358315789	35
sub-02	meta_spatial	meta_L_RSC_PCC	yy	YY	0.14724804303970734	35
sub-02	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.07651401576365358	35
sub-02	meta_spatial	meta_L_hippocampus	yy	YY	-0.03415110414904122	35
sub-02	meta_spatial	meta_L_hippocampus	kj	KJ	0.035608067121369325	35
sub-02	meta_spatial	meta_L_precuneus	yy	YY	0.10896485913316585	35
sub-02	meta_spatial	meta_L_precuneus	kj	KJ	-0.13827360927768745	35
sub-02	meta_spatial	meta_R_PPA_PHG	yy	YY	0.11027177529096023	35
sub-02	meta_spatial	meta_R_PPA_PHG	kj	KJ	-0.06056113558054456	35
sub-02	meta_spatial	meta_R_PPC_SPL	yy	YY	0.0476389561103678	35
sub-02	meta_spatial	meta_R_PPC_SPL	kj	KJ	-0.018868252165391855	35
sub-02	meta_spatial	meta_R_RSC_PCC	yy	YY	0.07827224988380012	35
sub-02	meta_spatial	meta_R_RSC_PCC	kj	KJ	-0.03223127154662056	35
sub-02	meta_spatial	meta_R_hippocampus	yy	YY	-0.003584518789580967	35
sub-02	meta_spatial	meta_R_hippocampus	kj	KJ	-0.04470452028774993	35
sub-02	meta_spatial	meta_R_precuneus	yy	YY	0.13740529477900537	35
sub-02	meta_spatial	meta_R_precuneus	kj	KJ	-0.08905644844675926	35
sub-03	meta_spatial	meta_L_PPA_PHG	yy	YY	0.18048033187592674	35
sub-03	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.2339805347271602	35
sub-03	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.06748214162922761	35
sub-03	meta_spatial	meta_L_PPC_SPL	kj	KJ	-0.0711149943501864	35
sub-03	meta_spatial	meta_L_RSC_PCC	yy	YY	0.1521647033801956	35
sub-03	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.2032050777161219	35
sub-03	meta_spatial	meta_L_hippocampus	yy	YY	0.02159120092083494	35
sub-03	meta_spatial	meta_L_hippocampus	kj	KJ	0.04488209784690875	35
sub-03	meta_spatial	meta_L_precuneus	yy	YY	0.2340293657366392	35
sub-03	meta_spatial	meta_L_precuneus	kj	KJ	0.17252426312269037	35
sub-03	meta_spatial	meta_R_PPA_PHG	yy	YY	0.10789896727015602	35
sub-03	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.09822241034883943	35
sub-03	meta_spatial	meta_R_PPC_SPL	yy	YY	0.07650708962866233	35
sub-03	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.16232835987712238	35
sub-03	meta_spatial	meta_R_RSC_PCC	yy	YY	-0.021097828945785074	35
sub-03	meta_spatial	meta_R_RSC_PCC	kj	KJ	-0.03491797323077254	35
sub-03	meta_spatial	meta_R_hippocampus	yy	YY	0.04588856149921532	35
sub-03	meta_spatial	meta_R_hippocampus	kj	KJ	0.0063705127996690125	35
sub-03	meta_spatial	meta_R_precuneus	yy	YY	-0.09186878979652997	35
sub-03	meta_spatial	meta_R_precuneus	kj	KJ	-0.10348730067833191	35
sub-04	meta_spatial	meta_L_PPA_PHG	yy	YY	0.024856312862404983	35
sub-04	meta_spatial	meta_L_PPA_PHG	kj	KJ	-0.035785882393706725	35
sub-04	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.04874902313414925	35
sub-04	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.000403459264454707	35
sub-04	meta_spatial	meta_L_RSC_PCC	yy	YY	0.050721025237585045	35
sub-04	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.004784030010991243	35
sub-04	meta_spatial	meta_L_hippocampus	yy	YY	0.004621246084611269	35
sub-04	meta_spatial	meta_L_hippocampus	kj	KJ	-0.005647221028121005	35
sub-04	meta_spatial	meta_L_precuneus	yy	YY	-0.021002344248819055	35
sub-04	meta_spatial	meta_L_precuneus	kj	KJ	0.08521435422490294	35
sub-04	meta_spatial	meta_R_PPA_PHG	yy	YY	0.12930070751757194	35
sub-04	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.08816281700843118	35
sub-04	meta_spatial	meta_R_PPC_SPL	yy	YY	0.024363737058381966	35
sub-04	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.00896723946863798	35
