sub,YY_mean,KJ_mean,YY_n,KJ_n,diff
sub-01,838.4,898.7857142857143,70,70,-60.38571428571436
sub-02,1077.1285714285714,1156.7714285714285,70,70,-79.64285714285711
sub-03,942.8714285714286,960.0142857142857,70,70,-17.14285714285711
sub-04,1060.3,1034.8,70,70,25.5
sub-05,1060.9857142857143,900.3428571428572,70,70,160.6428571428571
sub-06,878.5,889.5,70,70,-11.0
sub-07,1213.1714285714286,1132.4857142857143,70,70,80.68571428571431
sub-08,1160.4571428571428,1234.9571428571428,70,70,-74.5
sub-09,1054.5142857142857,1161.3,70,70,-106.78571428571422
sub-10,1032.7714285714285,1101.4,70,70,-68.6285714285716
sub-11,656.5,630.9857142857143,70,70,25.514285714285734
sub-13,1296.4571428571428,1345.4142857142858,70,70,-48.957142857143026
sub-14,1221.3285714285714,1234.6,70,70,-13.271428571428487
sub-15,854.2,893.0571428571428,70,70,-38.857142857142776
sub-16,1053.8428571428572,1032.6142857142856,70,70,21.228571428571513
sub-17,768.8,778.4428571428572,70,70,-9.642857142857224
sub-18,1115.1142857142856,1207.4857142857143,70,70,-92.37142857142862
sub-19,1205.4142857142858,1229.9571428571428,70,70,-24.542857142856974
sub-20,793.3428571428572,773.5571428571428,70,70,19.785714285714334
sub-21,1171.642857142857,1168.3142857142857,70,70,3.328571428571422
sub-22,1287.7,1271.0,70,70,16.700000000000045
sub-23,480.77142857142854,515.3857142857142,70,70,-34.6142857142857
sub-24,1207.057142857143,1143.8714285714286,70,70,63.18571428571431
sub-25,1194.7,1151.8285714285714,70,70,42.87142857142862
sub-26,1019.6142857142858,1033.8,70,70,-14.185714285714198
sub-27,1171.7571428571428,1136.057142857143,70,70,35.69999999999982
sub-28,946.3857142857142,1059.3285714285714,70,70,-112.94285714285718
